player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,commence_time,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,trailing_stat,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,model_guided,model_adjustment_pct,baseline_projection,adjustment_breakdown,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,profitable_strategy,strategy_validated,line_vs_trailing,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,feature_contributions,ensemble_p_under,ensemble_projection,ensemble_direction,mc_p_under,mc_direction,model_weight,had_conflict,prediction_source,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,wf_filter_passed,wf_filter_reason,elite_filter_passed,model_reasoning,model_confidence,model_confidence_label
Aaron Rodgers,Aaron Rodgers,Under,player_pass_attempts,Pass Attempts,31.5,-110,0.6355803987140838,63.6%,0.6936862838772626,0.6355803987140838,0.4937655860349127,0.5238095238095238,14.181481267917107,28.721080749670506,28.905245859813924,5.465211879934561,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.05867970932489398,5.9,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,QB,PIT,MIA,15,,27.80739144875589,12,27.80739144875589,,,,,,,,,,,,,,,92.96302121465742,65.91975385011547,13.292966666666668,3.9596048454640296,14.999870525000002,5.368775130221873,0.8325701754385967,1.1437911619794157,0.95,0.6125,-0.012091738373864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,339.0,1.0,27.0,1.0,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,True,MNF,,,,0.8987788592568005,default,0.0,0.3,0.0,True,3.987788592568009,27.80739144875589,snap_share: +4.0%,0,False,0.0,turf,32.81818181818182,23.09090909090909,32.81818181818182,-0.2142857142857142,,False,Aaron Rodgers,Aaron Rodgers,HIGH,0.62,0.08237314730749448,False,False,3.69260855124411,0.1323165068302622,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6355803987140838,,0.0,False,Monte Carlo fallback (63.6%),[],0.682526855848767,28.905245859813924,UNDER,0.682526855848767,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +3.69 LVT (line vs trailing) |   = P(UNDER): 64% | INPUTS: |   Line: 31.5 | Trailing: 27.8 | Proj: 28.9 |   Snaps: 90% | PICK: UNDER (line +2.6 vs proj) | Edge: +0.0%,98,VERY HIGH
Tua Tagovailoa,Tua Tagovailoa,Under,player_pass_attempts,Pass Attempts,27.5,-105,0.6939727090570205,69.4%,0.7771038700814578,0.6939727090570205,0.4833368048323266,0.5121951219512195,21.063590422469385,43.57952924726374,23.852157355241342,4.967689912400782,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.09316101339172297,9.3,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,QB,MIA,PIT,15,,22.80538277665557,13,22.80538277665557,,,,,,,,,,,,,,,82.0381388218677,59.712477018005885,11.188566666666668,3.636281426433084,12.322188625000003,4.844861880269539,0.6061916666666667,0.9672503703224355,0.9247666666666666,0.6061916666666667,-0.0520204658684147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,False,,,,,0.9484017464423166,default,0.0,0.3,0.0,True,4.484017464423173,22.80538277665557,snap_share: +4.5%,0,False,0.0,turf,32.09090909090909,23.454545454545453,32.18181818181818,0.2142857142857142,,False,Tua Tagovailoa,Tua Tagovailoa,HIGH,0.62,0.13264882344576936,False,False,4.69461722334443,0.20495694261564723,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6939727090570205,,0.0,False,Monte Carlo fallback (69.4%),[],0.7686212078887187,23.852157355241342,UNDER,0.7686212078887187,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +4.69 LVT (line vs trailing) |   = P(UNDER): 69% | INPUTS: |   Line: 27.5 | Trailing: 22.8 | Proj: 23.9 |   Snaps: 95% | PICK: UNDER (line +3.6 vs proj) | Edge: +0.0%,88,VERY HIGH
Aaron Rodgers,Aaron Rodgers,Under,player_pass_completions,Pass Completions,20.5,-111,0.6423654012973385,64.2%,0.7847308025946772,0.6423654012973385,0.4958445875753168,0.5260663507109005,14.652081372202176,29.54974550362836,17.292639882595154,3.954724009283784,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.061347749184346094,6.1,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,QB,PIT,MIA,15,,17.28379188692656,12,17.28379188692656,,,,,,,,,,,,,,,92.96302121465742,65.91975385011547,13.292966666666668,3.9596048454640296,14.999870525000002,5.368775130221873,0.8325701754385967,1.1437911619794157,0.95,0.6125,-0.012091738373864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,339.0,1.0,27.0,1.0,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,True,MNF,,,,0.8987788592568005,tier_1_starter,0.0,0.5,0.1,True,0.0,17.28379188692656,No significant adjustments,0,False,0.0,turf,32.81818181818182,23.09090909090909,32.81818181818182,-0.2142857142857142,,False,Aaron Rodgers,Aaron Rodgers,HIGH,0.62,0.15645659109291932,False,False,3.2162081130734386,0.18501188543865277,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6423654012973385,,0.0,False,Monte Carlo fallback (64.2%),[],0.7913228965101649,17.292639882595154,UNDER,0.7913228965101649,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_completions),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +3.22 LVT (line vs trailing) |   = P(UNDER): 64% | INPUTS: |   Line: 20.5 | Trailing: 17.3 | Proj: 17.3 |   Snaps: 90% | PICK: UNDER (line +3.2 vs proj) | Edge: +0.0%,98,VERY HIGH
Tua Tagovailoa,Tua Tagovailoa,Under,player_pass_completions,Pass Completions,18.5,-103,0.6868855243578565,68.7%,0.8737710487157131,0.6868855243578565,0.47823563551944287,0.5073891625615764,20.864988883841367,43.62909690152751,14.156526677461196,3.629488749554936,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.09109440361161221,9.1,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,QB,MIA,PIT,15,,14.140701748456413,13,14.140701748456413,,,,,,,,,,,,,,,82.0381388218677,59.712477018005885,11.188566666666668,3.636281426433084,12.322188625000003,4.844861880269539,0.6061916666666667,0.9672503703224355,0.9247666666666666,0.6061916666666667,-0.0520204658684147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,False,,,,,0.9484017464423166,tier_1_starter,0.0,0.5,0.1,True,0.0,14.140701748456413,No significant adjustments,0,False,0.0,turf,32.09090909090909,23.454545454545453,32.18181818181818,0.2142857142857142,,False,Tua Tagovailoa,Tua Tagovailoa,HIGH,0.62,0.23478234175885426,False,False,4.359298251543587,0.3061154097982638,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6868855243578565,,0.0,False,Monte Carlo fallback (68.7%),[],0.8842916914570849,14.156526677461196,UNDER,0.8842916914570849,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_completions),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +4.36 LVT (line vs trailing) |   = P(UNDER): 69% | INPUTS: |   Line: 18.5 | Trailing: 14.1 | Proj: 14.2 |   Snaps: 95% | PICK: UNDER (line +4.3 vs proj) | Edge: +0.0%,95,VERY HIGH
Aaron Rodgers,Aaron Rodgers,Under,player_pass_tds,Passing TDs,1.5,-116,0.6525720657713575,65.3%,0.7179600939590822,0.6525720657713575,0.5062344139650873,0.5370370370370371,14.633765180627023,28.90709279522875,1.0484005695992018,0.9617760395777255,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.06238891551653305,6.2,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,QB,PIT,MIA,15,,0.8663824266986585,12,0.8663824266986585,,,,,,,,,,,,,,,92.96302121465742,65.91975385011547,13.292966666666668,3.9596048454640296,14.999870525000002,5.368775130221873,0.8325701754385967,1.1437911619794157,0.95,0.6125,-0.012091738373864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,339.0,1.0,27.0,1.0,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,True,MNF,,,,0.8987788592568005,default,0.0,0.3,0.0,True,3.987788592568009,0.8663824266986585,snap_share: +4.0%,0,False,0.0,turf,32.81818181818182,23.09090909090909,32.81818181818182,-0.2142857142857142,,False,Aaron Rodgers,Aaron Rodgers,MEDIUM,0.65,0.30106628693386545,False,False,0.6336175733013415,0.6556592460666908,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6525720657713575,,0.0,False,Monte Carlo fallback (65.3%),[],0.6806607907353904,1.0484005695992018,UNDER,0.6806607907353904,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_tds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.63 LVT (line vs trailing) |   = P(UNDER): 65% | INPUTS: |   Line: 1.5 | Trailing: 0.9 | Proj: 1.0 |   Snaps: 90% | PICK: UNDER (line +0.5 vs proj) | Edge: +0.0%,58,MEDIUM
Jaylen Waddle,Jaylen Waddle,UNDER,player_reception_yds,Receiving Yards,63.5,-114,0.5785888175032239,57.9%,0.706812677640063,0.5785888175032239,0.5042122999157539,0.5327102803738317,7.437651758746999,14.75103197599447,34.464025313155624,30.081136155327457,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.024545017364224795,2.5,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,WR,MIA,PIT,15,0.425,54.24196479552611,13,54.24196479552611,,,,,,,34.464025313155624,31.10212430467659,2.515285919114806,2.0490328874556556,4.032357925,3.284888584445784,0.391304347826087,0.6632062993937524,,,,,,,,,0.5187432129447008,0.391304347826087,-0.0520204658684147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,False,,0.1594202898550724,,,0.8286724150811277,tier_2_primary,0.0,0.62,0.05,True,0.0,54.24196479552611,No significant adjustments,0,False,0.0,turf,32.09090909090909,23.454545454545453,32.18181818181818,0.2142857142857142,,False,Jaylen Waddle,Jaylen Waddle,MEDIUM,0.55,0.26871333658394625,False,False,9.258035204473892,0.17036622137807006,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.851433472806342,UNDER,62.54639026302892,True,"V25: UNDER (proj=34.5 vs line=63.5, diff=+46%) | tgt_share: +1.65, line_level: +0.61, game_pace: -0.61","[('target_share', 1.6493778), ('line_level', 0.6095912), ('game_pace', -0.60872465), ('target_share_trailing', -0.43194914), ('player_under_rate', 0.33604136)]",0.851433472806342,34.464025313155624,UNDER,0.8247368323130491,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   Favors OVER: |     • game pace (0.61) |     • target share (0.43) |   Favors UNDER: |     • target share (1.65) * |     • line level (0.61) |     • player under tendency (0.34) |   -------- |   Sum: +1.55 -> sigmoid -> 83% |   Calibration: +3% |   = P(UNDER): 85% |   * Dominant: target share (45% influence) | INPUTS: |   Line: 63.5 | Trailing: 54.2 | Proj: 34.5 |   Snaps: 83% | PICK: UNDER (line +29.0 vs proj) | Edge: +62.5%,63,MEDIUM
DK Metcalf,DK Metcalf,UNDER,player_reception_yds,Receiving Yards,55.5,-110,0.550468931384247,55.0%,0.632812977326966,0.550468931384247,0.495787700084246,0.5238095238095238,5.468123130000102,11.029162540883807,35.38606027385935,31.131044423731193,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.01399618897672968,1.4,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,WR,PIT,MIA,15,0.3902439024390244,79.29735545129795,13,79.29735545129795,,,,,,,35.38606027385935,31.280451274554466,2.603352549253452,2.042365207381963,4.3747154,3.43202326850439,0.3333333333333333,0.6279947549320951,,,,,,,,,0.4112529658342491,0.3333333333333333,-0.012091738373864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,True,MNF,0.1023622047244094,,,0.8509763810236194,tier_2_primary,0.0,0.62,0.05,True,0.0,79.29735545129795,No significant adjustments,0,False,0.0,turf,32.81818181818182,23.09090909090909,32.81818181818182,-0.2142857142857142,,False,DK Metcalf,DK Metcalf,MEDIUM,0.55,0.28632074235150207,False,False,-23.797355451297946,-0.2997247870037077,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7988563670707369,UNDER,52.508942804413415,True,"V25: UNDER (proj=35.4 vs line=55.5, diff=+36%) | tgt_share: +1.72, game_pace: -0.59, tgt_share: -0.40","[('target_share', 1.7157186), ('game_pace', -0.5911614), ('target_share_trailing', -0.39959458), ('player_under_rate', 0.3394958), ('line_level', 0.31125376)]",0.7988563670707369,35.38606027385935,UNDER,0.7398942722704118,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   Favors OVER: |     • game pace (0.59) |     • target share (0.40) |   Favors UNDER: |     • target share (1.72) * |     • player under tendency (0.34) |     • line level (0.31) |   -------- |   Sum: +1.38 -> sigmoid -> 80% |   = P(UNDER): 80% |   * Dominant: target share (51% influence) | INPUTS: |   Line: 55.5 | Trailing: 79.3 | Proj: 35.4 |   Snaps: 85% | PICK: UNDER (line +20.1 vs proj) | Edge: +52.5%,63,MEDIUM
Darren Waller,Darren Waller,UNDER,player_reception_yds,Receiving Yards,27.5,-114,0.5694397016510955,56.9%,0.7314656721703183,0.5694397016510955,0.5042122999157539,0.5327102803738317,6.522740173534158,12.936495548847198,15.38805468926248,17.7327287546116,Model Projection (Calibrated),True,STANDARD,60-75%,STANDARD,0.019650240383336084,2.0,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,TE,MIA,PIT,15,0.47058823529411764,23.49637486573577,6,23.49637486573577,,,,,,,15.38805468926248,19.70917498925456,0.9586123770382121,1.1855426366628252,1.7403040250000001,2.1522824781044787,0.1581196581196581,0.7806302859442064,,,,,,,,,0.1037456636930923,0.1581196581196581,-0.0520204658684147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,False,,0.036231884057971,,,0.4163453276047261,tier_3_blocking,0.0,0.7,-0.05,True,0.0,23.49637486573577,No significant adjustments,0,False,0.0,turf,32.09090909090909,23.454545454545453,32.18181818181818,0.2142857142857142,,False,Darren Waller,Darren Waller,MEDIUM,0.55,0.398020315997272,False,False,4.0036251342642295,0.16967119555630902,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8198986503943535,UNDER,56.52610598437657,True,"V25: UNDER (proj=15.4 vs line=27.5, diff=+44%) | tgt_share: +1.89, game_pace: -0.48, tgt_share: -0.36","[('target_share', 1.8902919), ('game_pace', -0.47745046), ('target_share_trailing', -0.3642858), ('vegas_total', 0.22537588), ('oline_health_score_v25', -0.22439687)]",0.8198986503943535,15.38805468926248,UNDER,0.7305685286148148,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Player too volatile (CV=0.75 > 0.65),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   Favors OVER: |     • game pace (0.48) |     • target share (0.36) |     • oline health score v25 (0.22) |   Favors UNDER: |     • target share (1.89) * |     • vegas total (0.23) |   -------- |   Sum: +1.05 -> sigmoid -> 74% |   Calibration: +8% |   = P(UNDER): 82% |   * Dominant: target share (59% influence) | INPUTS: |   Line: 27.5 | Trailing: 23.5 | Proj: 15.4 |   Snaps: 42% | PICK: UNDER (line +12.1 vs proj) | Edge: +56.5%,41,LOW
Malik Washington,Malik Washington,UNDER,player_reception_yds,Receiving Yards,24.5,-116,0.5838298484396844,58.4%,0.7794328281322815,0.5838298484396844,0.5084288604180714,0.5370370370370371,7.5400988021613,14.83019432838887,9.966135116591053,12.33533601061587,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.025268118157429603,2.5,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,WR,MIA,PIT,15,0.55,22.5711035264923,13,22.5711035264923,,,,,,,9.966135116591053,12.737264840411523,1.6519503121158918,1.8606617291014376,2.0746200750000003,2.336732616996077,0.2586206896551724,0.334707034417995,,,,,,,,,0.2029035798740442,0.2586206896551724,-0.0520204658684147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,False,,0.0797101449275362,,,0.5445624604390314,tier_3_secondary,0.0,0.7,0.0,True,0.0,22.5711035264923,No significant adjustments,0,False,0.0,turf,32.09090909090909,23.454545454545453,32.18181818181818,0.2142857142857142,,False,Malik Washington,Malik Washington,MEDIUM,0.55,0.38782251744723656,False,False,1.9288964735076988,0.08508171961076742,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8901303558300344,UNDER,69.93397702209747,True,"V25: UNDER (proj=10.0 vs line=24.5, diff=+59%) | tgt_share: +1.91, under_rate: +0.66, game_pace: -0.44","[('target_share', 1.9142848), ('player_under_rate', 0.66137844), ('game_pace', -0.44332534), ('target_share_trailing', -0.33518925), ('player_market_aligned', 0.31460628)]",0.8901303558300344,9.966135116591053,UNDER,0.8730755860762425,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   Favors OVER: |     • game pace (0.44) |     • target share (0.34) |   Favors UNDER: |     • target share (1.91) * |     • player under tendency (0.66) |     • player market aligned (0.31) |   -------- |   Sum: +2.11 -> sigmoid -> 89% |   = P(UNDER): 89% |   * Dominant: target share (52% influence) | INPUTS: |   Line: 24.5 | Trailing: 22.6 | Proj: 10.0 |   Snaps: 54% | PICK: UNDER (line +14.5 vs proj) | Edge: +69.9%,49,LOW
Jaylen Waddle,Jaylen Waddle,UNDER,player_receptions,Receptions,4.5,112,0.5551552058684666,55.5%,0.6451452786012276,0.5551552058684666,0.4456393635827931,0.4716981132075472,10.951584228567345,24.57499297306286,2.515285919114806,2.011348415521606,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.039493088491327946,3.9,Miami Dolphins @ Pittsburgh Steelers,2025-12-16T01:15:00Z,WR,MIA,PIT,15,0.5,4.217150979113349,13,4.217150979113349,,,,,,,34.464025313155624,31.10212430467659,2.515285919114806,2.0490328874556556,4.032357925,3.284888584445784,0.391304347826087,0.6632062993937524,,,,,,,,,0.5187432129447008,0.391304347826087,-0.0520204658684147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-0.014,-0.02,None,active,active,active,-0.014,-0.02,False,0.0,False,0.0,1.5,False,,0.1594202898550724,,,0.8286724150811277,tier_2_primary,0.0,0.62,0.05,True,0.0,4.217150979113349,No significant adjustments,0,False,0.0,turf,32.09090909090909,23.454545454545453,32.18181818181818,0.2142857142857142,,False,Jaylen Waddle,Jaylen Waddle,HIGH,0.52,0.0002447509138278687,True,True,0.2828490208866512,0.06551751890427109,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8454399834706707,UNDER,61.4021786625826,True,"V25: UNDER (proj=2.5 vs line=4.5, diff=+44%) | tgt_share: +2.14, game_pace: -0.98, vegas_total: +0.59","[('target_share', 2.1396573), ('game_pace', -0.979319), ('vegas_total', 0.59453994), ('line_level', 0.44798478), ('oline_health_score_v25', -0.38645783)]",0.8454399834706707,2.515285919114806,UNDER,0.8336301348577979,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   Favors OVER: |     • game pace (0.98) |     • oline health score v25 (0.39) |   Favors UNDER: |     • target share (2.14) * |     • vegas total (0.59) |     • line level (0.45) |   -------- |   Sum: +1.82 -> sigmoid -> 86% |   Calibration: -1% |   = P(UNDER): 85% |   * Dominant: target share (47% influence) | INPUTS: |   Line: 4.5 | Trailing: 4.2 | Proj: 2.5 |   Snaps: 83% | PICK: UNDER (line +2.0 vs proj) | Edge: +61.4%,78,HIGH
