player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,line_vs_trailing,profitable_strategy,strategy_validated,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,model_reasoning
Dak Prescott,Dak Prescott,Under,player_pass_attempts,Pass Attempts,34.5,-123,0.7535477037191396,75.4%,0.8622110053130566,0.7535477037191396,0.519675254742772,0.5515695067264574,23.387244897636762,45.00357614528508,28.642466666666667,6.095804834656555,Model Projection (Calibrated),True,ELITE,90%+,MEDIUM,0.1,10.0,Dallas Cowboys @ Washington Commanders,QB,DAL,WAS,17,0.4,34.2,20,,,,,,,,,,,,,,,246.4047532505116,109.48906691940516,18.155533333333334,4.66237522251862,28.642466666666667,6.095804834656555,0.9357065789473686,1.2169202836121464,0.95,0.6125,0.0261079638166662,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.2378007971701606,0.3333333333333333,0.0,2.0,0.0,2.0,5.0,2.0,305.0,2.0,26.5,2.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.9625167833435384,default,0.0,0.3,0.0,0,False,0.0,grass,38.416666666666664,25.0,38.75,0.0,,False,Dak Prescott,Dak Prescott,HIGH,0.5,0.16978357487922704,5.857533333333333,False,False,0.2037936897088396,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 34.5 • 4-Week Trailing Avg: 28.6 • LVT (Line vs Trailing): +5.9 • 🎯 PROJECTION: • Monte Carlo Projection: 28.6 • Snap Share: 96% • Player Tier: Default • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: UNDER • Expected Value: +0.0% • Kelly Sizing: 10.0% • 💡 WHY UNDER: • Line (34.5) set above trailing avg (28.6) • Model expects regression toward mean • Projection (28.6) is below line (34.5)
Dak Prescott,Dak Prescott,Under,player_pass_completions,Pass Completions,23.5,-116,0.695965138292963,69.6%,0.8919302765859262,0.695965138292963,0.5062344139650873,0.5370370370370371,18.973072432787575,37.478827810580384,18.155533333333334,4.66237522251862,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.08582117467820002,8.6,Dallas Cowboys @ Washington Commanders,QB,DAL,WAS,17,0.4,23.0,20,,,,,,,,,,,,,,,246.4047532505116,109.48906691940516,18.155533333333334,4.66237522251862,28.642466666666667,6.095804834656555,0.9357065789473686,1.2169202836121464,0.95,0.6125,0.0261079638166662,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.2378007971701606,0.3333333333333333,0.0,2.0,0.0,2.0,5.0,2.0,305.0,2.0,26.5,2.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.9625167833435384,tier_1_starter,0.0,0.5,0.1,0,False,0.0,grass,38.416666666666664,25.0,38.75,0.0,,False,Dak Prescott,Dak Prescott,HIGH,0.5,0.22742411347517727,5.344466666666666,False,False,0.2927587252084299,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 23.5 • 4-Week Trailing Avg: 18.2 • LVT (Line vs Trailing): +5.3 • 🎯 PROJECTION: • Monte Carlo Projection: 18.2 • Snap Share: 96% • Player Tier: Tier 1 Starter • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: UNDER • Expected Value: +0.0% • Kelly Sizing: 8.6% • 💡 WHY UNDER: • Line (23.5) set above trailing avg (18.2) • Model expects regression toward mean • Projection (18.2) is below line (23.5)
Dak Prescott,Dak Prescott,Over,player_pass_yds,Passing Yards,273.5,-112,0.5790696112151466,57.9%,0.6581392224302931,0.5790696112151466,0.5,0.5283018867924528,7.906961121514655,15.81392224302931,318.1047532505116,109.48906691940516,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.02690689394402766,2.7,Dallas Cowboys @ Washington Commanders,QB,DAL,WAS,17,0.4915254237288136,265.6101694915254,59,,,,,,,,,,,,,,,246.4047532505116,109.48906691940516,18.155533333333334,4.66237522251862,28.642466666666667,6.095804834656555,0.9357065789473686,1.2169202836121464,0.95,0.6125,0.0261079638166662,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.2378007971701606,0.3333333333333333,0.0,2.0,0.0,2.0,5.0,2.0,305.0,2.0,26.5,2.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.9625167833435384,tier_1_starter,0.0,0.5,0.1,0,False,0.0,grass,38.416666666666664,25.0,38.75,0.0,,False,Dak Prescott,Dak Prescott,MEDIUM,0.5,0.16308867733276627,-44.60475325051158,False,False,-0.14017626322318258,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 273.5 • 4-Week Trailing Avg: 318.1 • LVT (Line vs Trailing): -44.6 • 🎯 PROJECTION: • Monte Carlo Projection: 318.1 • Snap Share: 96% • Player Tier: Tier 1 Starter • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: OVER • Expected Value: +0.0% • Kelly Sizing: 2.7% • 📈 VS WAS (INFO ONLY): • Prior Games: 2 • Avg vs WAS: 393.8 • Divergence: +24% • ⚠️ Does NOT affect pick - LVT is primary signal • 💡 WHY OVER: • Line (273.5) set below trailing avg (318.1) • Model expects upward correction • Projection (318.1) is above line (273.5)
CeeDee Lamb,CeeDee Lamb,Under,player_receptions,Receptions,5.5,113,0.5239694225694975,52.4%,0.563077427814467,0.5239694225694975,0.44305636257989545,0.4694835680751174,8.091305998960207,18.262475572735102,5.302276391319065,2.536234114585652,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.025675856210847264,2.6,Dallas Cowboys @ Washington Commanders,WR,DAL,WAS,17,0.5625,7.0,48,,,,,,,65.08304040359691,38.56358850907328,5.002276391319065,2.536234114585652,7.076033333333333,3.5876620426431223,0.3333333333333333,0.4484934583940129,,,,,,,,,0.4549569116388642,0.3333333333333333,0.0261079638166662,0.7991808720562845,0.6666666666666666,0.116522310820787,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,9.0,3.0,72.66666666666667,3.0,2.6666666666666665,3.0,0.0,3.0,0.0,3.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.2114285714285714,,,0.7887593937345154,tier_2_primary,0.0,0.62,0.05,0,False,0.0,grass,38.416666666666664,25.0,38.75,0.0,,False,CeeDee Lamb,CeeDee Lamb,HIGH,0.5,0.035949747032897245,0.19772360868093486,True,True,0.036600054191721396,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,True,⚠️ Player +80% vs opponent,False,False,0,False,📊 STATS: • Vegas Line: 5.5 • 4-Week Trailing Avg: 5.3 • LVT (Line vs Trailing): +0.2 • 🎯 PROJECTION: • Monte Carlo Projection: 5.3 • Snap Share: 79% • Player Tier: Tier 2 Primary • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: UNDER • Expected Value: +0.0% • Kelly Sizing: 2.6% • 📈 VS WAS (INFO ONLY): • Prior Games: 3 • Avg vs WAS: 9.5 • Divergence: +80% • ⚠️ Does NOT affect pick - LVT is primary signal • 💡 WHY UNDER: • Line (5.5) set above trailing avg (5.3) • Model expects regression toward mean • Projection (5.3) is below line (5.5)
George Pickens,George Pickens,Under,player_receptions,Receptions,5.5,-107,0.5611557507118058,56.1%,0.6223115014236116,0.5611557507118058,0.487517163899638,0.5169082125603864,7.363858681216779,15.104819330489722,4.963804524154464,2.3572152602484073,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.0228981009933595,2.3,Dallas Cowboys @ Washington Commanders,WR,DAL,WAS,17,0.5849056603773585,4.754716981132075,53,,,,,,,67.37067429624098,39.77716988513078,4.663804524154465,2.3572152602484073,7.033533333333334,3.554941469122788,0.48,0.7153189428499709,,,,,,,,,0.6206641943937495,0.48,0.0261079638166662,0.0720860992574483,0.0,0.3507360724913725,0.0,0.0,0.0,0.0,0.0,5.0,1.0,91.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.12,,,0.8445982885791394,tier_1_premium,0.0,0.5,0.1,0,False,0.0,grass,38.416666666666664,25.0,38.75,0.0,,False,George Pickens,George Pickens,HIGH,0.5,0.09749008651737011,0.5361954758455356,True,True,0.1058878701355613,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 5.5 • 4-Week Trailing Avg: 5.0 • LVT (Line vs Trailing): +0.5 • 🎯 PROJECTION: • Monte Carlo Projection: 5.0 • Snap Share: 84% • Player Tier: Tier 1 Premium • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: UNDER • Expected Value: +0.0% • Kelly Sizing: 2.3% • 💡 WHY UNDER: • Line (5.5) set above trailing avg (5.0) • Model expects regression toward mean • Projection (5.0) is below line (5.5)
Deebo Samuel Sr.,Deebo Samuel Sr.,Under,player_receptions,Receptions,4.5,-131,0.5737952354388584,57.4%,0.6941979879969957,0.5737952354388584,0.533917113917921,0.5670995670995671,3.9878121520937393,7.468972333235202,3.6637983216802605,2.048515479063784,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.0038667484659406838,0.4,Dallas Cowboys @ Washington Commanders,WR,WAS,DAL,17,0.4117647058823529,4.333333333333333,51,,,,,,,34.45476104765663,25.493608485168345,3.3637983216802607,2.048515479063784,4.8434333333333335,2.9495966185602773,0.3119266055045872,0.5288666866254881,,,,,,,,,0.3071368151704627,0.3119266055045871,0.0520213202968592,-0.1081510503574241,0.0,0.5962960800664356,0.0,0.0,0.0,0.0,0.0,3.0,1.0,55.0,1.0,30.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),out,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1015625,,,0.7022820744579299,tier_2_primary,0.0,0.62,0.05,0,False,0.0,grass,30.272727272727273,27.636363636363637,30.727272727272727,0.0,,False,Deebo Samuel Sr.,Deebo Samuel Sr.,HIGH,0.5,0.18582259518216432,0.8362016783197395,False,False,0.2221696294147973,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 4.5 • 4-Week Trailing Avg: 3.7 • LVT (Line vs Trailing): +0.8 • 🎯 PROJECTION: • Monte Carlo Projection: 3.7 • Snap Share: 70% • Player Tier: Tier 2 Primary • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: UNDER • Expected Value: +0.0% • Kelly Sizing: 0.4% • 💡 WHY UNDER: • Line (4.5) set above trailing avg (3.7) • Model expects regression toward mean • Projection (3.7) is below line (4.5)
Javonte Williams,Javonte Williams,Over,player_rush_attempts,Rush Attempts,15.5,-125,0.536190371758828,53.6%,0.6206345725294267,0.536190371758828,0.5238589211618258,0.5555555555555556,1.2331450597002247,2.353964034754488,16.913133333333334,5.260733869802662,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.0,0.0,Dallas Cowboys @ Washington Commanders,RB,DAL,WAS,17,0.25,15.375,16,82.80565589681055,50.517147036317006,16.913133333333334,5.260733869802662,1.0539369857529763,0.8458906148091621,4.9664142608108754,5.814513596763835,1.1629036334660832,1.1710554880559472,1.7655,1.7778760033628145,0.0860442742847126,,,,,,,,,,0.95,0.6125,0.0312830960209338,0.7198329616005377,0.0,1.0,0.0,-0.4686353302384172,0.0,0.0,0.0,2.0,1.0,14.0,1.0,44.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.0685714285714285,0.4310344827586206,0.5277777777777778,0.5802362790302789,tier_2_committee_lead,0.0,0.7,0.05,0,False,0.0,grass,38.416666666666664,25.0,38.75,0.0,,False,Javonte Williams,Javonte Williams,HIGH,0.5,0.09116989247311835,-1.4131333333333345,False,False,-0.08306132125377655,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 15.5 • 4-Week Trailing Avg: 16.9 • LVT (Line vs Trailing): -1.4 • 🎯 PROJECTION: • Monte Carlo Projection: 16.9 • Snap Share: 58% • Player Tier: Tier 2 Committee Lead • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: OVER • Expected Value: +0.0% • 💡 WHY OVER: • Line (15.5) set below trailing avg (16.9) • Model expects upward correction • Projection (16.9) is above line (15.5)
Javonte Williams,Javonte Williams,Under,player_rush_yds,Rushing Yards,74.5,-111,0.560212821052382,56.0%,0.70070940350794,0.560212821052382,0.4978941161605526,0.5260663507109005,6.231870489182939,12.516457389051348,47.90565589681055,50.517147036317006,Model Projection (Calibrated),True,STANDARD,60-75%,STANDARD,0.01801226310513153,1.8,Dallas Cowboys @ Washington Commanders,RB,DAL,WAS,17,0.4782608695652174,56.17391304347826,69,82.80565589681055,50.517147036317006,16.913133333333334,5.260733869802662,1.0539369857529763,0.8458906148091621,4.9664142608108754,5.814513596763835,1.1629036334660832,1.1710554880559472,1.7655,1.7778760033628145,0.0860442742847126,,,,,,,,,,0.95,0.6125,0.0312830960209338,0.7198329616005377,0.0,1.0,0.0,-0.4686353302384172,0.0,0.0,0.0,2.0,1.0,14.0,1.0,44.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),active,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.0685714285714285,0.4310344827586206,0.5277777777777778,0.5802362790302789,tier_2_committee_lead,0.0,0.7,0.05,0,False,0.0,grass,38.416666666666664,25.0,38.75,0.0,,False,Javonte Williams,Javonte Williams,HIGH,0.5,0.3569710617877778,26.59434410318945,False,False,0.5539835589446941,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 74.5 • 4-Week Trailing Avg: 47.9 • LVT (Line vs Trailing): +26.6 • 🎯 PROJECTION: • Monte Carlo Projection: 47.9 • Snap Share: 58% • Player Tier: Tier 2 Committee Lead • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: UNDER • Expected Value: +0.0% • Kelly Sizing: 1.8% • 💡 WHY UNDER: • Line (74.5) set above trailing avg (47.9) • Model expects regression toward mean • Projection (47.9) is below line (74.5)
Jared Goff,Jared Goff,Over,player_pass_attempts,Pass Attempts,32.5,-113,0.5969917185290256,59.7%,0.638559597898608,0.5969917185290256,0.5,0.5305164319248826,9.699171852902555,19.39834370580511,34.734433333333335,6.661224187706708,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.03539809011670612,3.5,Detroit Lions @ Minnesota Vikings,QB,DET,MIN,17,0.3,29.6,20,,,,,,,,,,,,,,,264.9503082530057,113.9275353699183,21.044,4.965473861240905,34.734433333333335,6.661224187706708,1.410662719298246,1.4957835846880467,0.95,0.6125,-0.0600996979594757,0.0,1.0,0.0,1.0,0.0,1.0,0.0266075997173871,1.0,0.0,4.0,0.0,4.0,-1.0,4.0,272.0,4.0,25.5,4.0,0.0,0.0,None (Dome),active,questionable,active,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.9974449821052388,default,0.0,0.3,0.0,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,Jared Goff,Jared Goff,HIGH,0.5,0.06875179487179493,-2.2344333333333353,False,False,-0.06414438587106823,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 32.5 • 4-Week Trailing Avg: 34.7 • LVT (Line vs Trailing): -2.2 • 🎯 PROJECTION: • Monte Carlo Projection: 34.7 • Snap Share: 100% • Player Tier: Default • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: OVER • Expected Value: +0.0% • Kelly Sizing: 3.5% • 💡 WHY OVER: • Line (32.5) set below trailing avg (34.7) • Model expects upward correction • Projection (34.7) is above line (32.5)
Jared Goff,Jared Goff,Under,player_pass_completions,Pass Completions,22.5,-129,0.5684052324607476,56.8%,0.6368104649214953,0.5684052324607476,0.5310164041860369,0.5633187772925764,3.7388828274710684,7.040993080434449,21.044,4.965473861240905,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.002911995583778003,0.3,Detroit Lions @ Minnesota Vikings,QB,DET,MIN,17,0.5,22.5,16,,,,,,,,,,,,,,,264.9503082530057,113.9275353699183,21.044,4.965473861240905,34.734433333333335,6.661224187706708,1.410662719298246,1.4957835846880467,0.95,0.6125,-0.0600996979594757,0.0,1.0,0.0,1.0,0.0,1.0,0.0266075997173871,1.0,0.0,4.0,0.0,4.0,-1.0,4.0,272.0,4.0,25.5,4.0,0.0,0.0,None (Dome),active,questionable,active,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.9974449821052388,tier_1_starter,0.0,0.5,0.1,0,False,0.0,turf,33.833333333333336,26.916666666666668,34.0,0.0,,False,Jared Goff,Jared Goff,HIGH,0.5,0.0647111111111111,1.4559999999999995,False,False,0.0688611426409383,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,,,0,False,name 'week' is not defined,False,,False,False,0,False,📊 STATS: • Vegas Line: 22.5 • 4-Week Trailing Avg: 21.0 • LVT (Line vs Trailing): +1.5 • 🎯 PROJECTION: • Monte Carlo Projection: 21.0 • Snap Share: 100% • Player Tier: Tier 1 Starter • 🔮 CLASSIFIER: • P(UNDER): 50.0% • P(OVER): 50.0% • Pick: UNDER • Expected Value: +0.0% • Kelly Sizing: 0.3% • 💡 WHY UNDER: • Line (22.5) set above trailing avg (21.0) • Model expects regression toward mean • Projection (21.0) is below line (22.5)
