player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,commence_time,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,trailing_stat,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,model_guided,model_adjustment_pct,baseline_projection,adjustment_breakdown,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,profitable_strategy,strategy_validated,line_vs_trailing,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,feature_contributions,ensemble_p_under,ensemble_projection,ensemble_direction,mc_p_under,mc_direction,model_weight,had_conflict,prediction_source,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,wf_filter_passed,wf_filter_reason,elite_filter_passed,model_reasoning,model_confidence,model_confidence_label,direction,units,source,lvt_confidence,player_bias_confidence,combined_confidence,reasoning,player_under_rate,player_bet_count,current_season_under_rate,season_games_played,home_team,away_team,p_td,injury_status,injury_risk,injury_action,injury_reason
Trey McBride,Trey McBride,UNDER,player_reception_yds,Receiving Yards,81.5,-110.0,0.5535417412551717,55.4%,0.6408993190925574,0.5535417412551717,0.495787700084246,0.5238095238095238,5.775404117092576,11.648945942207115,44.952531559066784,38.20256007945024,Model Projection (Calibrated),True,STANDARD,60-75%,STANDARD,0.0156094141589651,1.6,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,TE,ARI,CIN,17.0,0.5,70.14742744172628,15.0,70.14742744172628,,,,,,,44.952531559066784,39.23400559355286,4.333372276392645,2.9021555949283036,6.020504525000001,4.032065508589308,0.48,0.7955286369592375,,,,,,,,,0.5907878604058263,0.48,-0.0230522431749384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.2951807228915662,,,0.9352363041394238,tier_1_elite,0.0,0.62,0.1,True,0.0,70.14742744172628,No significant adjustments,0.0,False,0.0,turf,42.45454545454545,23.545454545454547,42.45454545454545,0.0,,False,Trey McBride,Trey McBride,HIGH,0.7,0.192128824544085,False,False,11.35257255827372,0.1616083744517369,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.8499352966817124,UNDER,62.260374821054185,True,"V31: UNDER (proj=45.0 vs line=81.5, diff=+45%)",[],0.8499352966817124,44.952531559066784,UNDER,0.8242090455960603,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +11.35 LVT (line vs trailing) |   = P(UNDER): 85% | INPUTS: |   Line: 81.5 | Trailing: 70.1 |   Snaps: 94% | PICK: UNDER (LVT: +11.4) | Edge: +62.3%,78.0,HIGH,,,,,,,,,,,,,,,,,,
Trey McBride,Trey McBride,UNDER,player_receptions,Receptions,8.5,-143.0,0.5575852250165863,55.8%,0.6515400658331216,0.5575852250165863,0.5550754357697378,0.588477366255144,0.2509789246848415,0.4521528219615814,4.333372276392645,2.880694055127054,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.0,0.0,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,TE,ARI,CIN,17.0,0.5,7.027106531118092,15.0,7.027106531118092,,,,,,,44.952531559066784,39.23400559355286,4.333372276392645,2.9021555949283036,6.020504525000001,4.032065508589308,0.48,0.7955286369592375,,,,,,,,,0.5907878604058263,0.48,-0.0230522431749384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.2951807228915662,,,0.9352363041394238,tier_1_elite,0.0,0.62,0.1,True,0.0,7.027106531118092,No significant adjustments,0.0,False,0.0,turf,42.45454545454545,23.545454545454547,42.45454545454545,0.0,,False,Trey McBride,Trey McBride,HIGH,0.6,0.0834614816175595,True,True,1.4728934688819084,0.2066607903854136,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.911482976085937,UNDER,74.01038634367887,True,"V31: UNDER (proj=4.3 vs line=8.5, diff=+49%)",[],0.911482976085937,4.333372276392645,UNDER,0.9244562813727676,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +1.47 LVT (line vs trailing) |   = P(UNDER): 91% | INPUTS: |   Line: 8.5 | Trailing: 7.0 |   Snaps: 94% | PICK: UNDER (LVT: +1.5) | Edge: +74.0%,83.0,VERY HIGH,,,,,,,,,,,,,,,,,,
Bryce Young,Bryce Young,UNDER,player_pass_attempts,Pass Attempts,30.5,-103.0,0.5583033717683323,55.8%,0.5832905310976176,0.5583033717683323,0.4791397221410989,0.5073891625615764,7.916364962723344,16.522038555576284,29.518350005962535,6.202028567895953,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.0258389611724286,2.6,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,QB,CAR,SEA,17.0,0.5,28.193733847447405,14.0,28.193733847447405,,,,,,,,,,,,,,,124.4543518318185,82.62739126859513,17.8634,4.605367206495772,19.204882575000003,6.034491085142696,0.9227903508771932,1.195969228515331,0.95,0.6125,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,,,,0.9960371214212478,default,0.0,0.3,0.0,True,4.960371214212467,28.193733847447405,snap_share: +5.0%,0.0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Bryce Young,Bryce Young,HIGH,0.6,0.0321852457061463,False,False,2.3062661525525954,0.081511551815232,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.9582056938407186,UNDER,82.93017791504627,True,"V31: UNDER (proj=29.5 vs line=30.5, diff=+37%)",[],0.9582056938407186,29.518350005962535,UNDER,0.5628814661807526,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +2.31 LVT (line vs trailing) |   = P(UNDER): 96% | INPUTS: |   Line: 30.5 | Trailing: 28.2 |   Snaps: 100% | PICK: UNDER (LVT: +2.3) | Edge: +82.9%,93.0,VERY HIGH,,,,,,,,,,,,,,,,,,
Bryce Young,Bryce Young,UNDER,player_pass_completions,Pass Completions,19.5,-125.0,0.5540239754675562,55.4%,0.6080479509351124,0.5540239754675562,0.5238589211618258,0.5555555555555556,3.0165054305730465,5.75824006945033,18.47811810711252,4.6637362462880905,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.0,0.0,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,QB,CAR,SEA,17.0,0.5,18.53621944172003,14.0,18.53621944172003,,,,,,,,,,,,,,,124.4543518318185,82.62739126859513,17.8634,4.605367206495772,19.204882575000003,6.034491085142696,0.9227903508771932,1.195969228515331,0.95,0.6125,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,,,,0.9960371214212478,tier_1_starter,0.0,0.5,0.1,True,0.0,18.53621944172003,No significant adjustments,0.0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Bryce Young,Bryce Young,HIGH,0.65,0.0524041996352554,False,False,0.9637805582799714,0.0517154544833487,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.6549697725949912,UNDER,25.039683859043784,True,"V31: UNDER (proj=18.5 vs line=19.5, diff=+8%)",[],0.6549697725949912,18.47811810711252,UNDER,0.586718708320072,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.96 LVT (line vs trailing) |   = P(UNDER): 65% | INPUTS: |   Line: 19.5 | Trailing: 18.5 |   Snaps: 100% | PICK: UNDER (LVT: +1.0) | Edge: +25.0%,100.0,VERY HIGH,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,Tetairoa McMillan,UNDER,player_reception_yds,Receiving Yards,52.5,-110.0,0.5269117168404883,52.7%,0.5708203074749693,0.5269117168404883,0.495787700084246,0.5238095238095238,3.1124016756242323,6.277690380570881,37.66946316926764,31.716290560866337,Model Projection (Calibrated),True,LOW,<60%,MEDIUM,0.0016286513412563,0.2,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,WR,CAR,SEA,17.0,0.5,55.73516033445951,15.0,55.73516033445951,,,,,,,37.66946316926764,33.04899651598342,2.7196937950182023,2.025848527359094,4.7868328,3.565621319707907,0.48,0.6896709811368188,,,,,,,,,0.6888211790273264,0.48,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,0.0915032679738562,,,0.8473422229108727,tier_2_primary,0.0,0.62,0.05,True,0.0,55.73516033445951,No significant adjustments,0.0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Tetairoa McMillan,Tetairoa McMillan,HIGH,0.7,0.1078130288438853,False,False,-3.2351603344595077,-0.0579412741913965,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.7544424392680031,UNDER,44.02992022389151,True,"V31: UNDER (proj=37.7 vs line=52.5, diff=+28%)",[],0.7544424392680031,37.66946316926764,UNDER,0.6731918074697787,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -3.24 LVT (line vs trailing) |   = P(UNDER): 75% | INPUTS: |   Line: 52.5 | Trailing: 55.7 |   Snaps: 85% | PICK: UNDER (LVT: -3.2) | Edge: +44.0%,73.0,HIGH,,,,,,,,,,,,,,,,,,
Rashid Shaheed,Rashid Shaheed,UNDER,player_reception_yds,Receiving Yards,29.5,-110.0,0.5390995779294552,53.9%,0.6303319264315174,0.5390995779294552,0.495787700084246,0.5238095238095238,4.3311877845209175,8.735972642695547,16.091442869607892,17.475841366069538,Model Projection (Calibrated),True,LOW,<60%,MEDIUM,0.0080272784129639,0.8,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,WR,SEA,CAR,17.0,0.5,30.662328472311945,16.0,30.662328472311945,,,,,,,16.091442869607892,18.282143474533697,1.3320771926248556,1.4365171237014798,2.283607025,2.462650523092728,0.1886792452830188,0.2744043549217104,,,,,,,,,0.1518604553349681,0.1886792452830188,0.0139798392109363,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,63.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),healthy,out,out,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.016260162601626,,,0.5620166451578921,tier_3_secondary,0.0,0.7,0.0,True,0.0,30.662328472311945,No significant adjustments,0.0,False,0.0,turf,28.363636363636363,28.636363636363637,28.454545454545453,0.0,,False,Rashid Shaheed,Rashid Shaheed,HIGH,0.7,0.1971112525077117,False,False,-1.1623284723119447,-0.0377841512666414,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.8311236936620672,UNDER,58.66906879003101,True,"V31: UNDER (proj=16.1 vs line=29.5, diff=+45%)",[],0.8311236936620672,16.091442869607892,UNDER,0.768349972694017,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -1.16 LVT (line vs trailing) |   = P(UNDER): 83% | INPUTS: |   Line: 29.5 | Trailing: 30.7 |   Snaps: 56% | PICK: UNDER (LVT: -1.2) | Edge: +58.7%,59.0,MEDIUM,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,Tetairoa McMillan,UNDER,player_receptions,Receptions,4.5,-134.0,0.5654339223316251,56.5%,0.6721945324516451,0.5654339223316251,0.5400039315903282,0.5726495726495726,2.5429990741296926,4.709223258135329,2.7196937950182023,1.977932101149958,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.0,0.0,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,WR,CAR,SEA,17.0,0.5,3.981823124429305,15.0,3.981823124429305,,,,,,,37.66946316926764,33.04899651598342,2.7196937950182023,2.025848527359094,4.7868328,3.565621319707907,0.48,0.6896709811368188,,,,,,,,,0.6888211790273264,0.48,-0.0289841344320976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,questionable,pup,0.0,0.0,False,0.0,False,0.0,1.5,False,EARLY,0.0915032679738562,,,0.8473422229108727,tier_2_primary,0.0,0.62,0.05,True,0.0,3.981823124429305,No significant adjustments,0.0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Tetairoa McMillan,Tetairoa McMillan,HIGH,0.6,0.072774009859696,True,True,0.518176875570695,0.1269474104523192,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.8259267958645492,UNDER,57.67693375595939,True,"V31: UNDER (proj=2.7 vs line=4.5, diff=+40%)",[],0.8259267958645492,2.7196937950182023,UNDER,0.810243867885627,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.52 LVT (line vs trailing) |   = P(UNDER): 83% | INPUTS: |   Line: 4.5 | Trailing: 4.0 |   Snaps: 85% | PICK: UNDER (LVT: +0.5) | Edge: +57.7%,78.0,HIGH,,,,,,,,,,,,,,,,,,
AJ Barner,AJ Barner,UNDER,player_receptions,Receptions,3.5,-129.0,0.5312907387266799,53.1%,0.604302462422266,0.5312907387266799,0.5310164041860369,0.5633187772925764,0.0274334540642962,0.0516621593006101,2.197621973754112,1.8945318587308169,Model Projection (Calibrated),True,LOW,<60%,HIGH,0.0,0.0,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,TE,SEA,CAR,17.0,0.5,3.58992506712638,15.0,3.58992506712638,,,,,,,25.00855306033228,25.34797260513401,2.197621973754112,1.9483943870773517,3.3786824250000005,2.9955133099353772,0.3366336633663366,0.6558324955521968,,,,,,,,,0.466377483272485,0.3366336633663366,0.0139798392109363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,out,out,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.1300813008130081,,,0.843148096720964,tier_2_primary,0.0,0.7,0.0,True,0.0,3.58992506712638,No significant adjustments,0.0,False,0.0,turf,28.363636363636363,28.636363636363637,28.454545454545453,0.0,,False,AJ Barner,AJ Barner,HIGH,0.6,0.1785703118677839,False,False,-0.08992506712638,-0.0243704317812641,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.7878997152724281,UNDER,50.41721837019081,True,"V31: UNDER (proj=2.2 vs line=3.5, diff=+37%)",[],0.7878997152724281,2.197621973754112,UNDER,0.7480725151073946,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -0.09 LVT (line vs trailing) |   = P(UNDER): 79% | INPUTS: |   Line: 3.5 | Trailing: 3.6 |   Snaps: 84% | PICK: UNDER (LVT: -0.1) | Edge: +50.4%,73.0,HIGH,,,,,,,,,,,,,,,,,,
Rashid Shaheed,Rashid Shaheed,UNDER,player_receptions,Receptions,2.5,-143.0,0.5569550874743943,55.7%,0.6898502915813141,0.5569550874743943,0.5550754357697378,0.588477366255144,0.1879651704656426,0.3386299561337755,1.3320771926248556,1.346236521290712,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.0,0.0,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,WR,SEA,CAR,17.0,0.5,2.0998746617459454,16.0,2.0998746617459454,,,,,,,16.091442869607892,18.282143474533697,1.3320771926248556,1.4365171237014798,2.283607025,2.462650523092728,0.1886792452830188,0.2744043549217104,,,,,,,,,0.1518604553349681,0.1886792452830188,0.0139798392109363,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,63.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,None (No data),healthy,out,out,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.016260162601626,,,0.5620166451578921,tier_3_secondary,0.0,0.7,0.0,True,0.0,2.0998746617459454,No significant adjustments,0.0,False,0.0,turf,28.363636363636363,28.636363636363637,28.454545454545453,0.0,,False,Rashid Shaheed,Rashid Shaheed,HIGH,0.6,0.0219013797699702,True,True,0.4001253382540546,0.1818855161214013,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.8238086498249523,UNDER,57.27256042112725,True,"V31: UNDER (proj=1.3 vs line=2.5, diff=+47%)",[],0.8238086498249523,1.3320771926248556,UNDER,0.7918978328525808,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,True,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.40 LVT (line vs trailing) |   = P(UNDER): 82% | INPUTS: |   Line: 2.5 | Trailing: 2.1 |   Snaps: 56% | PICK: UNDER (LVT: +0.4) | Edge: +57.3%,64.0,MEDIUM,,,,,,,,,,,,,,,,,,
Shedeur Sanders,Shedeur Sanders,UNDER,player_pass_attempts,Pass Attempts,31.5,-110.0,0.5829169065148666,58.3%,0.6184527235926667,0.5829169065148666,0.4937655860349127,0.5238095238095238,8.915132047995389,18.05539369316238,30.002706695722317,6.406138187340152,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.0310313759203049,3.1,Pittsburgh Steelers @ Cleveland Browns,2025-12-28T18:00:00Z,QB,CLE,PIT,17.0,0.5,31.19803974221268,6.0,31.19803974221268,,,,,,,,,,,,,,,138.03966201380072,91.23587590209392,17.248066666666666,4.4593866837891,21.023348350000003,6.36605969567431,0.7244907894736843,1.0790728937379532,0.95,0.6125,0.0398613995429042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),questionable,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.962933673469388,default,0.0,0.3,0.0,True,4.6293367346938785,31.19803974221268,snap_share: +4.6%,0.0,False,0.0,turf,37.18181818181818,24.636363636363637,37.36363636363637,0.0,,False,Shedeur Sanders,Shedeur Sanders,HIGH,0.6,0.0475331207707201,False,False,0.3019602577873215,0.0096478968099736,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.9396152969720164,UNDER,79.38110214920316,True,"V31: UNDER (proj=30.0 vs line=31.5, diff=+33%)",[],0.9396152969720164,30.002706695722317,UNDER,0.5924018915058634,UNDER,1.0,False,classifier_direction_mc_projection,False,,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.30 LVT (line vs trailing) |   = P(UNDER): 94% | INPUTS: |   Line: 31.5 | Trailing: 31.2 |   Snaps: 96% | PICK: UNDER (LVT: +0.3) | Edge: +79.4%,89.0,VERY HIGH,,,,,,,,,,,,,,,,,,
Jerry Jeudy,Jerry Jeudy,UNDER,player_reception_yds,Receiving Yards,29.5,-114.0,0.5755334045903882,57.6%,0.7517780153012938,0.5755334045903882,0.5042122999157539,0.5327102803738317,7.132110467463426,14.145054511076172,18.927926183716497,17.128972433409537,Model Projection (Calibrated),True,STANDARD,60-75%,MEDIUM,0.0229103714558576,2.3,Pittsburgh Steelers @ Cleveland Browns,2025-12-28T18:00:00Z,WR,CLE,PIT,17.0,0.5,27.86973620603896,15.0,27.86973620603896,,,,,,,18.927926183716497,18.35509790375968,2.112196167567192,1.8513908356602888,3.4546367250000007,3.028072331258508,0.48,0.3355675772313065,,,,,,,,,0.6621561800561749,0.48,0.0398613995429042,0.7596021889769711,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,5.5,2.0,74.5,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,None (No data),questionable,active,questionable,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1679389312977099,,,0.8214745461950453,tier_3_secondary,0.0,0.7,0.0,True,0.0,27.86973620603896,No significant adjustments,0.0,False,0.0,turf,37.18181818181818,24.636363636363637,37.36363636363637,0.0,,False,Jerry Jeudy,Jerry Jeudy,HIGH,0.7,0.3948928043064801,False,False,1.630263793961042,0.0582867061008981,DISABLED,0.5,0.5,,0.0,0.0,False,V7 disabled - using V14,,,,,0.0,False,,,False,0.790980428538963,UNDER,51.00535453925657,True,"V31: UNDER (proj=18.9 vs line=29.5, diff=+36%)",[],0.790980428538963,18.927926183716497,UNDER,0.7176838920272759,UNDER,1.0,False,classifier_direction_mc_projection,True,⚠️ Player +100% vs opponent,False,False,0.0,False,True,,False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +1.63 LVT (line vs trailing) |   = P(UNDER): 79% | INPUTS: |   Line: 29.5 | Trailing: 27.9 |   Snaps: 82% | PICK: UNDER (LVT: +1.6) | Edge: +51.0%,60.0,MEDIUM,,,,,,,,,,,,,,,,,,
