player,stat_type,line,over_odds,under_odds,actual_value,went_over,pred_mean_raw,pred_mean,defense_multiplier,home_away_multiplier,game_script_multiplier,target_share_multiplier,target_share,catch_rate_multiplier,catch_rate,cpoe_multiplier,cpoe,yac_multiplier,yac_pct,is_home,opponent_team,pred_std,prob_over_raw,week,position,prob_over_calibrated,market_prob_over,market_prob_under,edge_over,edge_under
Lamar Jackson,passing_yards,233.5,-113.0,-111.0,176,0,206.00318676357125,187.95415158495155,0.957364970606736,0.8869395711500974,1.0233333333333332,1.0,,1.0,,1.05,10.72561082809634,1.0,,False,MIN,50.52029295243645,0.1836517767337946,10,QB,0.1904761904761904,0.5305164319248826,0.5260663507109005,-0.3400402414486921,0.283457458812909
Tua Tagovailoa,passing_yards,218.5,-112.0,-112.0,173,0,206.97049535350737,225.80896389169965,0.9081885463306938,1.151035322777101,1.0366666666666666,1.0,,1.0,,1.0067669097100294,0.6766909710029406,1.0,,True,BUF,71.52272366178458,0.5406973824302461,10,QB,0.4468085106382978,0.5283018867924528,0.5283018867924528,-0.0814933761541549,0.0248896025692493
Zay Flowers,receiving_yards,67.5,-114.0,-110.0,75,1,62.70113897650493,85.04234576832728,0.957364970606736,1.2617100371747214,1.0233333333333332,1.1,0.3036666363289647,1.05,0.7666666666666667,1.0,,0.95,0.4381818181818182,False,MIN,36.39368077015569,0.6851028010311979,10,WR,0.520618556701031,0.5327102803738317,0.5238095238095238,-0.0120917236728007,-0.0444280805105548
Jaylen Waddle,receiving_yards,66.5,-114.0,-110.0,84,1,73.86576550943799,85.05747914462553,0.9081885463306938,1.1146757679180888,1.0366666666666666,1.1,0.2111977613574703,1.05,0.6949152542372882,1.0,,0.95,0.2457337883959044,True,BUF,33.66914182320528,0.709242021251216,10,WR,0.520618556701031,0.5327102803738317,0.5238095238095238,-0.0120917236728007,-0.0444280805105548
De'Von Achane,receiving_yards,32.5,-114.0,-110.0,51,1,28.348348177933,37.849302148580264,0.9081885463306938,1.292436974789916,1.0366666666666666,1.1,0.2107042311032401,0.95,0.7166666666666667,1.0,,1.05,1.2664233576642336,True,BUF,25.259211741021883,0.5838592165581107,10,RB,0.5100548446069469,0.5327102803738317,0.5238095238095238,-0.0226554357668847,-0.0338643684164707
Rashod Bateman,receiving_yards,31.5,-109.0,-115.0,10,0,23.847288931410542,17.438068273794407,0.957364970606736,0.808029197080292,1.0233333333333332,1.0058594588414382,0.1508789188262157,0.9666666666666666,0.5172413793103449,1.0,,0.95,0.1630434782608695,False,MIN,22.27105745132009,0.2638897127153496,10,WR,0.3138539685697954,0.5215311004784688,0.5348837209302325,-0.2076771319086734,0.151262310499972
Malik Washington,receiving_yards,30.5,-115.0,-109.0,9,0,30.713366077363148,31.173042456193855,0.9081885463306938,0.9836734693877552,1.0366666666666666,0.9940473312776356,0.1491070996916453,1.05,0.6829268292682927,1.0,,1.05,0.8360655737704918,True,BUF,15.732132722552274,0.517062099232603,10,WR,0.5100548446069469,0.5348837209302325,0.5215311004784688,-0.0248288763232855,-0.0315859450854157
Mark Andrews,receiving_yards,30.5,-111.0,-113.0,14,0,28.010769385616346,22.86833352794327,0.957364970606736,0.8052023121387283,1.0233333333333332,1.0375210300124489,0.1556281545018673,1.05,0.7878787878787878,1.0,,0.95,0.2260869565217391,False,MIN,27.509738535393502,0.3907300019574806,10,TE,0.4643719758115956,0.5260663507109005,0.5305164319248826,-0.0616943748993048,0.0051115922635217
Isaiah Likely,receiving_yards,24.5,-113.0,-111.0,17,0,30.28213537784073,57.2777563117845,0.957364970606736,2.376923076923077,1.0233333333333332,0.9,0.0943305335968379,0.95,0.8888888888888888,1.0,,0.95,0.3720930232558139,False,MIN,25.787593916455258,0.8981475700530934,10,TE,0.619444271015928,0.5305164319248826,0.5260663507109005,0.0889278390910454,-0.1455106217268285
Nick Westbrook-Ikhine,receiving_yards,17.5,-110.0,-114.0,7,0,14.742780812905256,10.988183574746875,0.9081885463306938,0.9746341463414634,1.0366666666666666,0.9,0.073019001864768,0.95,0.5555555555555556,1.0,,0.95,0.3414634146341463,True,BUF,9.23889294543144,0.2404591126463462,10,WR,0.3125,0.5238095238095238,0.5327102803738317,-0.2113095238095238,0.1547897196261682
