game_id,week,home_team,away_team,model_home_win_prob,model_fair_spread,model_fair_total,spread_std,total_std,home_score,away_score,margin,total,home_won,prob_bin,spread_error,total_error
2025_04_SEA_ARI,4,ARI,SEA,0.54942,3.0,45.0,15.560783382066598,15.533859006428507,20.0,23.0,-3.0,43.0,0,50-60%,-6.0,-2.0
2025_04_MIN_PIT,4,PIT,MIN,0.68242,7.0,42.0,14.659408583432008,14.644538238893023,24.0,21.0,3.0,45.0,1,60-70%,-4.0,3.0
2025_04_WAS_ATL,4,ATL,WAS,0.44182,-1.0,48.0,16.409193876872806,16.4155561294767,34.0,27.0,7.0,61.0,1,40-50%,8.0,13.0
2025_04_NO_BUF,4,BUF,NO,0.62504,6.0,50.0,16.966705769665484,16.95570636211892,31.0,19.0,12.0,50.0,1,60-70%,6.0,0.0
2025_04_CLE_DET,4,DET,CLE,0.6611,7.0,49.0,16.578786761099256,16.507268219678263,34.0,10.0,24.0,44.0,1,60-70%,17.0,-5.0
2025_04_TEN_HOU,4,HOU,TEN,0.41566,-2.0,35.0,14.077700248634365,14.095493861741772,26.0,0.0,26.0,26.0,1,40-50%,28.0,-9.0
2025_04_CAR_NE,4,NE,CAR,0.60608,5.0,45.0,16.086212541316243,16.108986754367884,42.0,13.0,29.0,55.0,1,60-70%,24.0,10.0
2025_04_LAC_NYG,4,NYG,LAC,0.53996,3.0,46.0,16.141277317858087,16.099806764107452,21.0,18.0,3.0,39.0,1,50-60%,0.0,-7.0
2025_04_PHI_TB,4,TB,PHI,0.55032,3.0,51.0,16.64982585844068,16.58596345481323,25.0,31.0,-6.0,56.0,0,50-60%,-9.0,5.0
2025_04_IND_LA,4,LA,IND,0.41386,-3.0,54.0,17.052417242608154,17.106695684251825,27.0,20.0,7.0,47.0,1,40-50%,10.0,-7.0
2025_04_JAX_SF,4,SF,JAX,0.5313,3.0,54.0,17.401441227289194,17.399722700767388,21.0,26.0,-5.0,47.0,0,50-60%,-8.0,-7.0
2025_04_BAL_KC,4,KC,BAL,0.47156,0.0,45.0,15.366451284665565,15.394783031351887,37.0,20.0,17.0,57.0,1,40-50%,17.0,12.0
2025_04_CHI_LV,4,LV,CHI,0.47796,0.0,43.0,15.526468511879962,15.52074100906268,24.0,25.0,-1.0,49.0,0,40-50%,-1.0,6.0
2025_04_GB_DAL,4,DAL,GB,0.72542,10.0,48.0,16.36948900024677,16.3451839986095,40.0,40.0,0.0,80.0,0,70%+,-10.0,32.0
2025_04_NYJ_MIA,4,MIA,NYJ,0.58174,4.0,35.0,13.833426292224209,13.775685770167668,27.0,21.0,6.0,48.0,1,50-60%,2.0,13.0
2025_04_CIN_DEN,4,DEN,CIN,0.56944,3.0,38.0,14.568560504909193,14.534003150556973,28.0,3.0,25.0,31.0,1,50-60%,22.0,-7.0
