game_id,week,home_team,away_team,model_home_win_prob,model_fair_spread,model_fair_total,spread_std,total_std,home_score,away_score,margin,total,home_won,season,market_spread,spread_odds_home,market_total,total_odds_over,total_odds_under,spread_cover_prob,home_covered_spread,total_over_prob,total_went_over,prob_bin,spread_error,total_error
2025_09_BAL_MIA,9,MIA,BAL,0.5091,1.0,37.0,14.22821759144834,14.21257181574116,6.0,28.0,-22.0,34.0,0,2025,,,,,,,0.0,,0.0,50-60%,-23.0,-3.0
2025_09_CHI_CIN,9,CIN,CHI,0.56478,3.0,40.0,14.789316608619886,14.821548971345742,42.0,47.0,-5.0,89.0,0,2025,,,,,,,0.0,,0.0,50-60%,-8.0,49.0
2025_09_MIN_DET,9,DET,MIN,0.59868,4.0,47.0,15.94254225295326,15.936268978653693,24.0,27.0,-3.0,51.0,0,2025,,,,,,,0.0,,0.0,50-60%,-7.0,4.0
2025_09_CAR_GB,9,GB,CAR,0.55366,3.0,48.0,16.168275508760978,16.158716750237318,13.0,16.0,-3.0,29.0,0,2025,,,,,,,0.0,,0.0,50-60%,-6.0,-19.0
2025_09_DEN_HOU,9,HOU,DEN,0.44404,-1.0,54.0,17.223853708784223,17.21251878446615,15.0,18.0,-3.0,33.0,0,2025,,,,,,,0.0,,0.0,40-50%,-2.0,-21.0
2025_09_ATL_NE,9,NE,ATL,0.55858,3.0,48.0,16.320193959803298,16.370594600612403,24.0,23.0,1.0,47.0,1,2025,,,,,,,0.0,,0.0,50-60%,-2.0,-1.0
2025_09_SF_NYG,9,NYG,SF,0.51394,1.0,44.0,15.855201924806886,15.837502085253217,24.0,34.0,-10.0,58.0,0,2025,,,,,,,0.0,,0.0,50-60%,-11.0,14.0
2025_09_IND_PIT,9,PIT,IND,0.4136,-3.0,49.5,15.998023410584196,15.987489216559302,27.0,20.0,7.0,47.0,1,2025,,,,,,,0.0,,0.0,40-50%,10.0,-2.5
2025_09_LAC_TEN,9,TEN,LAC,0.38174,-3.0,38.0,15.000370741738353,14.9906836090153,20.0,27.0,-7.0,47.0,0,2025,,,,,,,0.0,,0.0,30-40%,-4.0,9.0
2025_09_NO_LA,9,LA,NO,0.5464,3.0,45.0,15.834824197015893,15.86760910857083,34.0,10.0,24.0,44.0,1,2025,,,,,,,0.0,,0.0,50-60%,21.0,-1.0
