week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit,result
4,B.Thomas,WR,player_reception_yds,Under 84.5,84.5,0.92,38.333333333333336,0.5238095238095238,0.3961904761904762,49,UNDER,UNDER,True,True,0.909,unknown
5,X.Hutchinson,WR,player_reception_yds,Under 39.5,39.5,0.92,23.0,0.5238095238095238,0.3961904761904762,18,UNDER,UNDER,True,True,0.909,unknown
5,E.Demercado,RB,player_rush_yds,Under 84.5,84.5,0.92,2.6666666666666665,0.5238095238095238,0.3961904761904762,81,UNDER,UNDER,True,True,0.909,unknown
5,J.Hill,TE,player_reception_yds,Under 24.5,24.5,0.92,16.25,0.5238095238095238,0.3961904761904762,22,UNDER,UNDER,True,True,0.909,unknown
5,J.Hill,TE,player_reception_yds,Under 39.5,39.5,0.92,16.25,0.5238095238095238,0.3961904761904762,22,UNDER,UNDER,True,True,0.909,unknown
5,J.Hill,TE,player_reception_yds,Under 54.5,54.5,0.92,16.25,0.5238095238095238,0.3961904761904762,22,UNDER,UNDER,True,True,0.909,unknown
5,J.Hill,TE,player_receptions,Under 2.5,2.5,0.92,1.75,0.5238095238095238,0.3961904761904762,4,OVER,UNDER,False,False,-1.0,unknown
5,J.Hill,TE,player_receptions,Under 3.5,3.5,0.92,1.75,0.5238095238095238,0.3961904761904762,4,OVER,UNDER,False,False,-1.0,unknown
5,J.Hill,TE,player_receptions,Under 4.5,4.5,0.92,1.75,0.5238095238095238,0.3961904761904762,4,UNDER,UNDER,True,True,0.909,unknown
5,J.Hill,TE,player_receptions,Under 5.5,5.5,0.92,1.75,0.5238095238095238,0.3961904761904762,4,UNDER,UNDER,True,True,0.909,unknown
5,J.Hill,TE,player_receptions,Under 6.5,6.5,0.92,1.75,0.5238095238095238,0.3961904761904762,4,UNDER,UNDER,True,True,0.909,unknown
5,H.Luepke,RB,player_reception_yds,Under 24.5,24.5,0.92,0.0,0.5238095238095238,0.3961904761904762,10,UNDER,UNDER,True,True,0.909,unknown
5,H.Luepke,RB,player_receptions,Under 2.5,2.5,0.92,0.0,0.5238095238095238,0.3961904761904762,1,UNDER,UNDER,True,True,0.909,unknown
5,D.Kincaid,TE,player_reception_yds,Over 24.5,24.5,0.92,44.75,0.5238095238095238,0.3961904761904762,108,OVER,OVER,True,True,0.909,unknown
5,D.Kincaid,TE,player_reception_yds,Under 69.5,69.5,0.92,44.75,0.5238095238095238,0.3961904761904762,108,OVER,UNDER,False,False,-1.0,unknown
5,D.Kincaid,TE,player_reception_yds,Under 84.5,84.5,0.92,44.75,0.5238095238095238,0.3961904761904762,108,OVER,UNDER,False,False,-1.0,unknown
5,D.Kincaid,TE,player_receptions,Under 5.5,5.5,0.92,3.5,0.5238095238095238,0.3961904761904762,6,OVER,UNDER,False,False,-1.0,unknown
5,D.Kincaid,TE,player_receptions,Under 6.5,6.5,0.92,3.5,0.5238095238095238,0.3961904761904762,6,UNDER,UNDER,True,True,0.909,unknown
5,B.Strange,TE,player_reception_yds,Over 24.5,24.5,0.92,45.5,0.5238095238095238,0.3961904761904762,22,UNDER,OVER,False,False,-1.0,unknown
5,B.Strange,TE,player_receptions,Over 2.5,2.5,0.92,4.75,0.5238095238095238,0.3961904761904762,1,UNDER,OVER,False,False,-1.0,unknown
5,S.Tucker,RB,player_receptions,Under 2.5,2.5,0.92,0.0,0.5238095238095238,0.3961904761904762,3,OVER,UNDER,False,False,-1.0,unknown
5,E.Demercado,RB,player_rush_yds,Under 64.5,64.5,0.92,2.6666666666666665,0.5238095238095238,0.3961904761904762,81,OVER,UNDER,False,False,-1.0,unknown
5,E.Demercado,RB,player_rush_yds,Under 44.5,44.5,0.92,2.6666666666666665,0.5238095238095238,0.3961904761904762,81,OVER,UNDER,False,False,-1.0,unknown
5,E.Demercado,RB,player_rush_yds,Under 19.5,19.5,0.92,2.6666666666666665,0.5238095238095238,0.3961904761904762,81,OVER,UNDER,False,False,-1.0,unknown
5,A.Iosivas,WR,player_receptions,Under 2.5,2.5,0.92,1.0,0.5238095238095238,0.3961904761904762,5,OVER,UNDER,False,False,-1.0,unknown
5,X.Hutchinson,WR,player_receptions,Under 4.5,4.5,0.92,2.25,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909,unknown
5,X.Hutchinson,WR,player_receptions,Under 5.5,5.5,0.92,2.25,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909,unknown
5,X.Hutchinson,WR,player_receptions,Under 6.5,6.5,0.92,2.25,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909,unknown
5,A.Iosivas,WR,player_reception_yds,Under 24.5,24.5,0.92,17.0,0.5238095238095238,0.3961904761904762,82,OVER,UNDER,False,False,-1.0,unknown
5,A.Iosivas,WR,player_reception_yds,Under 39.5,39.5,0.92,17.0,0.5238095238095238,0.3961904761904762,82,OVER,UNDER,False,False,-1.0,unknown
5,A.Iosivas,WR,player_reception_yds,Under 54.5,54.5,0.92,17.0,0.5238095238095238,0.3961904761904762,82,OVER,UNDER,False,False,-1.0,unknown
5,A.Iosivas,WR,player_reception_yds,Under 69.5,69.5,0.92,17.0,0.5238095238095238,0.3961904761904762,82,OVER,UNDER,False,False,-1.0,unknown
