game_id,away_team,home_team,commence_time,sportsbook,market,side,point,price,week,season,archived_at
2025_12_BUF_HOU,BUF,HOU,2025-11-21T01:15:00Z,draftkings,moneyline,away,,-290,12,2025,2025-11-19T20:54:50.436688+00:00
2025_12_BUF_HOU,BUF,HOU,2025-11-21T01:15:00Z,draftkings,moneyline,home,,235,12,2025,2025-11-19T20:54:50.436688+00:00
2025_12_BUF_HOU,BUF,HOU,2025-11-21T01:15:00Z,draftkings,spread,away,-6.0,-108,12,2025,2025-11-19T20:54:50.436688+00:00
2025_12_BUF_HOU,BUF,HOU,2025-11-21T01:15:00Z,draftkings,spread,home,6.0,-112,12,2025,2025-11-19T20:54:50.436688+00:00
2025_12_BUF_HOU,BUF,HOU,2025-11-21T01:15:00Z,draftkings,total,over,43.5,-105,12,2025,2025-11-19T20:54:50.436688+00:00
2025_12_BUF_HOU,BUF,HOU,2025-11-21T01:15:00Z,draftkings,total,under,43.5,-115,12,2025,2025-11-19T20:54:50.436688+00:00
2025_12_NYJ_BAL,NYJ,BAL,2025-11-23T18:00:00Z,draftkings,moneyline,home,,-950,12,2025,2025-11-19T20:54:50.436758+00:00
2025_12_NYJ_BAL,NYJ,BAL,2025-11-23T18:00:00Z,draftkings,moneyline,away,,625,12,2025,2025-11-19T20:54:50.436758+00:00
2025_12_NYJ_BAL,NYJ,BAL,2025-11-23T18:00:00Z,draftkings,spread,home,-13.5,-108,12,2025,2025-11-19T20:54:50.436758+00:00
2025_12_NYJ_BAL,NYJ,BAL,2025-11-23T18:00:00Z,draftkings,spread,away,13.5,-112,12,2025,2025-11-19T20:54:50.436758+00:00
2025_12_NYJ_BAL,NYJ,BAL,2025-11-23T18:00:00Z,draftkings,total,over,44.5,-108,12,2025,2025-11-19T20:54:50.436758+00:00
2025_12_NYJ_BAL,NYJ,BAL,2025-11-23T18:00:00Z,draftkings,total,under,44.5,-112,12,2025,2025-11-19T20:54:50.436758+00:00
2025_12_PIT_CHI,PIT,CHI,2025-11-23T18:00:00Z,draftkings,moneyline,home,,-148,12,2025,2025-11-19T20:54:50.436773+00:00
