season,week,gameday,game_id_nflverse,home_team,away_team,market,side,point,price,sportsbook,data_source,collected_at
2025,1,2025-09-07,2025_01_TB_ATL,ATL,TB,moneyline,away,,-135.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153073
2025,1,2025-09-07,2025_01_TB_ATL,ATL,TB,moneyline,home,,114.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153069
2025,1,2025-09-07,2025_01_TB_ATL,ATL,TB,spread,away,-1.5,-115.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153079
2025,1,2025-09-07,2025_01_TB_ATL,ATL,TB,spread,home,1.5,-105.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153076
2025,1,2025-09-07,2025_01_TB_ATL,ATL,TB,total,over,46.5,-118.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153082
2025,1,2025-09-07,2025_01_TB_ATL,ATL,TB,total,under,46.5,-102.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153084
2025,1,2025-09-07,2025_01_BAL_BUF,BUF,BAL,moneyline,away,,-125.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153367
2025,1,2025-09-07,2025_01_BAL_BUF,BUF,BAL,moneyline,home,,105.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153369
2025,1,2025-09-07,2025_01_BAL_BUF,BUF,BAL,spread,away,-1.5,-110.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153372
2025,1,2025-09-07,2025_01_BAL_BUF,BUF,BAL,spread,home,1.5,-110.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153374
2025,1,2025-09-07,2025_01_BAL_BUF,BUF,BAL,total,over,50.5,-112.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153377
2025,1,2025-09-07,2025_01_BAL_BUF,BUF,BAL,total,under,50.5,-108.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153379
2025,1,2025-09-08,2025_01_MIN_CHI,CHI,MIN,moneyline,away,,-122.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153389
2025,1,2025-09-08,2025_01_MIN_CHI,CHI,MIN,moneyline,home,,102.0,draftkings,historical_archive:game_lines_2025_all_weeks.csv,2025-11-17T17:18:51.153387
