player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,1,REG,SF,13,21,167.0,1,1.0,1.0,5.0,0,0,164.0,93.0,8.0,3.2582827980513684,0,1.0182926829268293,0.06657427756063589,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.58,8.58
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,2,REG,TEN,18,30,176.0,2,0.0,2.0,12.0,0,0,167.0,96.0,9.0,1.6537689469747647,0,1.0538922155688624,0.040780191928419154,2,1.0,0,0.0,0.0,0.0,-0.32714107306674123,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,15.139999999999999,15.139999999999999
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,3,REG,NE,27,35,281.0,2,0.0,2.0,14.0,0,0,226.0,152.0,16.0,18.204784605805415,0,1.2433628318584071,0.2578634361213961,3,18.0,0,0.0,0.0,2.0,1.414984326052945,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.040000000000003,21.040000000000003
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,4,REG,DEN,24,42,225.0,0,0.0,5.0,41.0,0,0,306.0,96.0,10.0,-12.087542063718368,0,0.7352941176470589,-0.016656560401752524,5,26.0,0,0.0,0.0,1.0,-0.5703657858332583,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.6,11.6
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,5,REG,MIN,29,54,244.0,2,3.0,3.0,26.0,1,0,410.0,123.0,13.0,-16.156328739288377,0,0.5951219512195122,-0.019009962849492065,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.759999999999998,11.759999999999998
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,6,REG,BUF,23,35,294.0,2,1.0,3.0,22.0,1,0,257.0,138.0,12.0,11.157051599960461,0,1.1439688715953307,0.15330939202576907,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.759999999999998,17.759999999999998
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,7,REG,PIT,24,39,276.0,1,2.0,1.0,7.0,0,0,203.0,186.0,13.0,-0.9682787605607608,1,1.3596059113300492,0.024145356785662216,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.040000000000001,13.040000000000001
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,8,REG,NE,17,28,233.0,2,0.0,1.0,9.0,0,0,274.0,67.0,12.0,5.162739192347109,0,0.8503649635036497,0.20544808443778062,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.32,17.32
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,9,REG,HOU,22,32,211.0,3,0.0,2.0,18.0,0,0,185.0,112.0,11.0,8.60553915501805,0,1.1405405405405404,0.13500450434043454,1,-1.0,0,0.0,0.0,0.0,-1.8987703990424052,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.339999999999996,20.339999999999996
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,10,REG,ARI,22,35,151.0,0,0.0,3.0,23.0,1,1,220.0,83.0,10.0,-10.893348057246827,0,0.6863636363636364,0.011472610553254006,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,4.04,4.04
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,11,REG,IND,22,29,184.0,2,0.0,3.0,22.0,1,0,124.0,122.0,7.0,-0.44817846041582454,0,1.4838709677419355,0.056732408016589256,1,7.0,0,0.0,0.0,0.0,-0.3539232932962477,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.06,16.06
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,13,REG,SEA,21,39,185.0,2,1.0,2.0,16.0,0,0,305.0,122.0,12.0,-14.039030682528391,0,0.6065573770491803,-0.032006984983479064,2,6.0,0,0.0,0.0,1.0,1.097523378673941,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.0,14.0
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,14,REG,MIA,27,39,339.0,1,0.0,3.0,20.0,0,0,263.0,179.0,18.0,14.799697282132872,0,1.2889733840304183,0.19281594451323958,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.560000000000002,17.560000000000002
