player_id,player_name,team,position,season,week,injury_status,injury_status_encoded,practice_status,practice_status_encoded,injury_body_part,source
00-0039521,Xavier Weaver,ARI,WR,2024,1,Out,3,Did Not Participate In Practice,2,Oblique,nflverse
00-0032933,Antonio Hamilton,ATL,CB,2024,1,Out,3,Did Not Participate In Practice,2,Groin,nflverse
00-0031360,Kyle Van Noy,BAL,LB,2024,1,Out,3,"
    ",0,gameday concussion protocol evaluation,nflverse
00-0039791,Adisa Isaac,BAL,LB,2024,1,Out,3,Did Not Participate In Practice,2,Hamstring,nflverse
00-0039879,Javon Solomon,BUF,DE,2024,1,Out,3,Did Not Participate In Practice,2,Oblique,nflverse
00-0034365,Ian Thomas,CAR,TE,2024,1,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0037005,Tommy Tremble,CAR,TE,2024,1,Out,3,Did Not Participate In Practice,2,Hamstring,nflverse
00-0038937,Zacch Pickens,CHI,DT,2024,1,Out,3,Did Not Participate In Practice,2,Groin,nflverse
00-0039908,Kris Jenkins,CIN,DT,2024,1,Out,3,Did Not Participate In Practice,2,Thumb,nflverse
00-0039925,Amarius Mims,CIN,T,2024,1,Out,3,Did Not Participate In Practice,2,Pectoral,nflverse
00-0036267,Jedrick Wills,CLE,T,2024,1,Out,3,Limited Participation in Practice,1,Knee,nflverse
00-0038741,John Stephens,DAL,TE,2024,1,Out,3,Did Not Participate In Practice,2,Hamstring,nflverse
00-0039448,Loren Strickland,DET,S,2024,1,Out,3,Did Not Participate In Practice,2,Thumb,nflverse
00-0037364,Arron Mosby,GB,DE,2024,1,Out,3,Note,0,Not injury related - personal matter,nflverse
00-0034355,M.J. Stewart,HOU,S,2024,1,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0038997,Josh Downs,IND,WR,2024,1,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0035662,Marquise Brown,KC,WR,2024,1,Out,3,Did Not Participate In Practice,2,Shoulder,nflverse
00-0034777,D.J. Chark,LAC,WR,2024,1,Out,3,Did Not Participate In Practice,2,Hip,nflverse
00-0036989,Malcolm Koonce,LV,DE,2024,1,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0039735,Jackson Powers-Johnson,LV,G,2024,1,Out,3,Did Not Participate In Practice,2,Illness,nflverse
00-0039357,Decamerion Richardson,LV,CB,2024,1,Out,3,Did Not Participate In Practice,2,Hamstring,nflverse
00-0039880,Malik Washington,MIA,WR,2024,1,Out,3,Did Not Participate In Practice,2,Quadricep,nflverse
00-0038569,Sidy Sow,NE,G,2024,1,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0039388,Jaylan Ford,NO,LB,2024,1,Out,3,Did Not Participate In Practice,2,Hamstring,nflverse
00-0039613,Dallin Holker,NO,TE,2024,1,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0037271,D'Marco Jackson,NO,LB,2024,1,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0035656,Khalen Saunders,NO,DT,2024,1,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0038399,Zaire Barnes,NYJ,LB,2024,1,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0032432,Wes Schweitzer,NYJ,G,2024,1,Out,3,Did Not Participate In Practice,2,Hand,nflverse
00-0035707,Devin White,PHI,LB,2024,1,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0036222,Isaiah Rodgers,PHI,CB,2024,1,Out,3,Limited Participation in Practice,1,Hand,nflverse
00-0039389,Logan Lee,PIT,DE,2024,1,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0032954,Isaac Seumalo,PIT,G,2024,1,Out,3,Did Not Participate In Practice,2,Pectoral,nflverse
00-0039739,Roman Wilson,PIT,WR,2024,1,Out,3,Limited Participation in Practice,1,Ankle,nflverse
00-0033439,Pharaoh Brown,SEA,TE,2024,1,Out,3,Did Not Participate In Practice,2,Foot,nflverse
00-0034350,Uchenna Nwosu,SEA,LB,2024,1,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0036288,Yetur Gross-Matos,SF,DE,2024,1,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0038625,Dee Winters,SF,LB,2024,1,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0038127,Logan Hall,TB,DE,2024,1,Out,3,Did Not Participate In Practice,2,Foot,nflverse
00-0033872,Jamal Adams,TEN,S,2024,1,Out,3,Did Not Participate In Practice,2,Hip,nflverse
00-0038853,Otis Reese,TEN,LB,2024,1,Out,3,Limited Participation in Practice,1,Concussion,nflverse
00-0032268,Marcus Mariota,WAS,QB,2024,1,Out,3,Did Not Participate In Practice,2,Chest,nflverse
00-0037587,Nate Landman,ATL,LB,2024,2,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0032933,Antonio Hamilton,ATL,CB,2024,2,Out,3,Limited Participation in Practice,1,Groin,nflverse
00-0039232,Nate Wiggins,BAL,CB,2024,2,Out,3,Did Not Participate In Practice,2,Neck,nflverse
00-0034376,Taron Johnson,BUF,CB,2024,2,Out,3,Did Not Participate In Practice,2,Forearm,nflverse
00-0033907,Dawuane Smoot,BUF,DE,2024,2,Out,3,Did Not Participate In Practice,2,Toe,nflverse
00-0035382,Ryan Bates,CHI,C,2024,2,Out,3,Did Not Participate In Practice,2,Shoulder,nflverse
00-0035099,Khari Blasingame,CHI,FB,2024,2,Out,3,Did Not Participate In Practice,2,Hand,nflverse
00-0039908,Kris Jenkins,CIN,DT,2024,2,Out,3,Did Not Participate In Practice,2,Thumb,nflverse
00-0033885,David Njoku,CLE,TE,2024,2,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0036267,Jedrick Wills,CLE,T,2024,2,Out,3,Limited Participation in Practice,1,Knee,nflverse
00-0038741,John Stephens,DAL,WR,2024,2,Out,3,Did Not Participate In Practice,2,Hamstring,nflverse
00-0039424,Devaughn Vele,DEN,WR,2024,2,Out,3,Did Not Participate In Practice,2,Ribs,nflverse
00-0036993,Ifeatu Melifonwu,DET,S,2024,2,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0039451,Isaiah Williams,DET,WR,2024,2,Out,3,Did Not Participate In Practice,2,Abdomen,nflverse
00-0034355,M.J. Stewart,HOU,S,2024,2,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0036253,Julian Blackmon,IND,S,2024,2,Out,3,Did Not Participate In Practice,2,Shoulder,nflverse
00-0034968,Darnell Savage,JAX,S,2024,2,Out,3,Did Not Participate In Practice,2,Quadricep,nflverse
00-0039074,Davis Allen,LA,TE,2024,2,Out,3,Did Not Participate In Practice,2,Back,nflverse
00-0039357,Decamerion Richardson,LV,CB,2024,2,Out,3,Did Not Participate In Practice,2,Hamstring,nflverse
00-0038541,Tyree Wilson,LV,DE,2024,2,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0031687,Raheem Mostert,MIA,RB,2024,2,Out,3,Did Not Participate In Practice,2,Chest,nflverse
00-0039880,Malik Washington,MIA,WR,2024,2,Out,3,Did Not Participate In Practice,2,Quadricep,nflverse
00-0038994,Jordan Addison,MIN,WR,2024,2,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0038569,Sidy Sow,NE,T,2024,2,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
00-0037271,D'Marco Jackson,NO,LB,2024,2,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0035656,Khalen Saunders,NO,DT,2024,2,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0036589,Nick McCloud,NYG,CB,2024,2,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0039829,Darius Muasau,NYG,LB,2024,2,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0035645,Gunner Olszewski,NYG,WR,2024,2,Out,3,Did Not Participate In Practice,2,Groin,nflverse
00-0032954,Isaac Seumalo,PIT,G,2024,2,Out,3,Did Not Participate In Practice,2,Pectoral,nflverse
00-0033439,Pharaoh Brown,SEA,TE,2024,2,Out,3,Did Not Participate In Practice,2,Foot,nflverse
00-0034350,Uchenna Nwosu,SEA,LB,2024,2,Out,3,Did Not Participate In Practice,2,Knee,nflverse
00-0033280,Christian McCaffrey,SF,RB,2024,2,Out,3,Did Not Participate In Practice,2,Calf,nflverse
00-0037835,Luke Goedeke,TB,T,2024,2,Out,3,Did Not Participate In Practice,2,Concussion,nflverse
00-0039051,Josh Hayes,TB,CB,2024,2,Out,3,Did Not Participate In Practice,2,Ankle,nflverse
