player,stat_type,line,recommendation,best_edge,prob_over_calibrated,pred_mean,over_odds,under_odds,defense_multiplier,home_away_multiplier,opponent_team
Jacoby Brissett,passing_yards,214.5,OVER,0.4639336492890995,0.99,217.10886998849367,-111.0,-113.0,0.517228154445184,1.8028673835125448,SEA
Jacoby Brissett,passing_yards,226.5,OVER,0.4594835680751173,0.99,217.10886998849367,-113.0,-111.0,0.517228154445184,1.8028673835125448,SEA
Chris Godwin,receptions,4.5,UNDER,0.44337899543379,0.1,1.8552364916266848,-152.0,119.0,0.6184121638755616,1.0,SEA
Austin Hooper,receiving_yards,5.5,OVER,0.4428444838280904,0.7131147540983607,11.019118450115032,270.0,-375.0,0.6118824986065214,0.825,TB
Mack Hollins,receiving_yards,12.5,OVER,0.4428444838280904,0.7131147540983607,30.075313400100992,270.0,-375.0,0.5901763188659752,0.8736474694589877,NYJ
Mike Evans,receptions,4.5,UNDER,0.4327102803738318,0.1,2.720792384332245,-146.0,114.0,0.5977715114568858,1.0,DET
Jacoby Brissett,passing_yards,232.5,OVER,0.4108703722162893,0.941386804141172,217.10886998849367,-113.0,-111.0,0.517228154445184,1.8028673835125448,SEA
Mark Andrews,rushing_yards,0.5,OVER,0.4039320378326514,0.6989172885701146,1.0681317557296766,239.0,-309.0,0.5591482274565787,1.1,MIN
Kyle Williams,receptions,1.5,UNDER,0.3826459354019205,0.107550143029452,0.2788363213600262,-123.0,-104.0,0.5921422426154287,1.08,NYJ
DJ Moore,receptions,3.5,UNDER,0.3799504950495036,0.1250000000000013,1.9436801619301904,-130.0,102.0,0.6141132296697468,0.85,NYG
Christian Kirk,receptions,3.5,UNDER,0.3761904761904762,0.1,2.1315450336640196,-116.0,-110.0,0.6206624605678234,0.9047619047619048,JAX
Jacoby Brissett,passing_yards,237.5,OVER,0.3727073049716021,0.9010091917640548,217.10886998849367,-112.0,-112.0,0.517228154445184,1.8028673835125448,SEA
Mike Evans,receptions,5.5,UNDER,0.3587155963302753,0.1,2.720792384332245,-108.0,-118.0,0.5977715114568858,1.0,DET
Davante Adams,receptions,6.5,UNDER,0.35662100456621,0.1,2.9618609966136265,-107.0,-119.0,0.6142744479495268,1.0266666666666666,SF
Allen Lazard,receptions,2.5,UNDER,0.3504504504504504,0.1,0.931369605801764,-104.0,-122.0,0.6133519662142027,0.9555555555555556,CIN
Darnell Mooney,receptions,4.5,UNDER,0.3424778761061947,0.1,1.446485597771684,-101.0,-126.0,0.6197397476340694,1.48,IND
Michael Mayer,receptions,5.5,UNDER,0.3392095132741838,0.1174114912920262,1.3179003500385074,-107.0,-119.0,0.5880326120762429,0.84,DEN
DJ Moore,receptions,5.5,UNDER,0.3366812227074236,0.1,1.9436801619301904,101.0,-129.0,0.6141132296697468,0.85,NYG
Jakobi Meyers,receptions,6.5,UNDER,0.3366812227074236,0.1,2.444499678078178,101.0,-129.0,0.587819896797376,1.0,HOU
DK Metcalf,receptions,4.5,UNDER,0.3291845493562232,0.1,1.885243070599113,104.0,-133.0,0.5878422712933754,0.9421052631578948,LAC
Tutu Atwell,receptions,1.5,UNDER,0.3241694111137806,0.2447961061275986,0.3234445969414872,-168.0,132.0,0.6142744479495268,1.0,SF
Chris Olave,receptions,7.5,UNDER,0.3166666666666667,0.2666666666666666,2.948500562897458,-180.0,140.0,0.5949030588735689,0.9058823529411764,CAR
Isaac TeSlaa,receptions,1.5,UNDER,0.3138224352470605,0.122858787460363,0.2892987526444227,101.0,-129.0,0.6047650918758015,1.2000000000000002,WAS
Dawson Knox,receptions,2.5,UNDER,0.3050261682692593,0.1048098973045112,0.7619045203520869,112.0,-144.0,0.6030164475483671,1.16,MIA
Adam Thielen,receptions,2.5,UNDER,0.3041487839771102,0.2666666666666666,0.5249102345003351,-171.0,133.0,0.6165385536876572,1.35,BAL
Emari Demercado,receptions,2.5,UNDER,0.3,0.1,0.3870570378104928,118.0,-150.0,0.6184121638755616,0.92,SEA
Devaughn Vele,receptions,2.5,UNDER,0.298406374501992,0.1,0.7316699785751649,118.0,-151.0,0.5949030588735689,1.0,CAR
DJ Moore,receptions,4.5,UNDER,0.2952569169960475,0.1,1.9436801619301904,120.0,-153.0,0.6141132296697468,0.85,NYG
Alvin Kamara,receptions,6.5,UNDER,0.2937007874015748,0.1,1.2829888883026666,120.0,-154.0,0.5949030588735689,0.8526315789473684,CAR
Davante Adams,receptions,5.5,UNDER,0.2921568627450981,0.1,2.9618609966136265,121.0,-155.0,0.6142744479495268,1.0266666666666666,SF
Tutu Atwell,receptions,3.5,UNDER,0.290625,0.1,0.3234445969414872,122.0,-156.0,0.6142744479495268,1.0,SF
DK Metcalf,receptions,3.5,UNDER,0.288888888888889,0.2666666666666666,1.885243070599113,-160.0,125.0,0.5878422712933754,0.9421052631578948,LAC
Greg Dortch,receptions,3.5,UNDER,0.2870987197066057,0.1210645455995166,0.7347975821743509,113.0,-145.0,0.6184121638755616,0.8133333333333334,SEA
Grant Calcaterra,receptions,2.5,UNDER,0.2866623211938255,0.1070384662077492,0.6324315224041489,121.0,-154.0,0.6146099384300161,0.8666666666666667,GB
Devaughn Vele,receptions,0.5,OVER,0.2866150774268656,0.6947783427329881,0.7316699785751649,145.0,-188.0,0.5949030588735689,1.0,CAR
Jordan Whittington,receptions,3.5,UNDER,0.2808446455505279,0.2666666666666666,1.89520430552805,-154.0,121.0,0.6206624605678234,1.5,JAX
Cole Kmet,receptions,2.5,UNDER,0.2773584905660378,0.1,0.6106749320728614,129.0,-165.0,0.6141132296697468,0.8285714285714285,NYG
Johnny Mundt,receptions,2.5,UNDER,0.2717472118959108,0.1,0.2272721859148362,132.0,-169.0,0.587819896797376,0.7666666666666666,HOU
Luke Musgrave,receptions,3.5,UNDER,0.2674409633837863,0.102929406986584,1.5675960854422015,133.0,-170.0,0.6021554480347856,1.4,PHI
Demarcus Robinson,receptions,2.5,UNDER,0.2660436137071651,0.2666666666666666,0.5711138927072944,-146.0,114.0,0.6115457413249211,0.9047619047619048,LA
Dont'e Thornton Jr.,receptions,2.5,UNDER,0.2657270841932074,0.1233779741725512,0.3289977230698249,123.0,-157.0,0.5880326120762429,1.4,DEN
Tutu Atwell,receptions,2.5,UNDER,0.2636363636363636,0.1,0.3234445969414872,136.0,-175.0,0.6142744479495268,1.0,SF
Jonnu Smith,receiving_yards,29.5,UNDER,0.2610775951737051,0.217391304347826,12.152819677160547,-116.0,-109.0,0.5817254120540185,0.9763440860215054,LAC
David Moore,receiving_yards,18.5,UNDER,0.2610775951737051,0.217391304347826,1.9913415071205811,-115.0,-109.0,0.6027460653432899,1.0,NE
Cedrick Wilson Jr.,receiving_yards,6.5,UNDER,0.2587991718426501,0.217391304347826,1.221046074464854,-114.0,-110.0,0.6105230372324271,1.0,BAL
Alvin Kamara,receiving_yards,53.5,UNDER,0.2587991718426501,0.217391304347826,6.706276865624751,-120.0,-110.0,0.5940978619280728,0.76,CAR
Allen Lazard,receiving_yards,26.5,UNDER,0.2587991718426501,0.217391304347826,6.644953544161892,-114.0,-110.0,0.617773692202291,0.9649122807017544,CIN
Chris Olave,receiving_yards,116.5,UNDER,0.2587991718426501,0.217391304347826,40.18410052825968,-120.0,-110.0,0.5940978619280728,1.0097560975609756,CAR
Rhamondre Stevenson,receptions,0.5,OVER,0.2586786114221724,0.6842105263157895,0.9015069583058756,135.0,-175.0,0.5836541659527721,0.9111111111111112,CLE
Chris Godwin,receiving_yards,52.5,UNDER,0.2565423449412735,0.217391304347826,15.745313370763114,-113.0,-111.0,0.6055889757985813,1.0,SEA
Mike Evans,receiving_yards,69.5,UNDER,0.2565423449412735,0.217391304347826,26.53752817881257,-113.0,-111.0,0.5958846392025525,1.0,DET
Mike Evans,receiving_yards,61.5,UNDER,0.2565423449412735,0.217391304347826,26.53752817881257,-113.0,-111.0,0.5958846392025525,1.0,DET
Trey McBride,receiving_yards,76.5,UNDER,0.2565423449412735,0.217391304347826,38.69253090059892,-113.0,-111.0,0.6055889757985813,1.067591836734694,SEA
