player,stat_type,line,recommendation,best_edge,prob_over_calibrated,pred_mean,over_odds,under_odds,defense_multiplier,home_away_multiplier,opponent_team
Tyrone Tracy Jr.,receptions,1.5,UNDER,0.0999999999999999,0.5,1.1324480575122486,-193.0,150.0,0.6083156041376274,1.032,CHI
Jaxon Smith-Njigba,receiving_yards,99.5,UNDER,0.0998031224528848,0.3718949907546623,75.3693275517261,-112.0,-112.0,0.605943083962113,0.9842706131078224,ARI
Malik Nabers,receptions,6.5,UNDER,0.0997462827472268,0.3486842105263157,2.074228783891501,-104.0,-123.0,0.5878422712933754,0.7142857142857143,LAC
Hunter Renfrow,receptions,3.5,UNDER,0.0997462827472268,0.3486842105263157,1.046074508804218,-104.0,-123.0,0.6118870088901635,0.7454545454545455,DAL
Travis Kelce,receptions,3.5,UNDER,0.0997304582210242,0.4285714285714285,2.8307369139682876,-143.0,112.0,0.5861643342578282,0.9541666666666666,BUF
Quinshon Judkins,rushing_yards,73.5,UNDER,0.0996584588842093,0.3788104406373218,26.97288557765565,-115.0,-109.0,0.5589797466095646,0.8275,NYJ
Jauan Jennings,receptions,3.5,UNDER,0.0995840835652087,0.3488464097083338,2.3437893852002833,-103.0,-123.0,0.6115457413249211,1.1,LA
Alvin Kamara,rushing_yards,58.5,UNDER,0.0988686669945893,0.3684210526315789,15.735074155341149,-110.0,-114.0,0.5498523927531699,1.0251121076233185,CAR
Rachaad White,rushing_yards,51.5,UNDER,0.0988686669945893,0.3684210526315789,19.77240388703771,-110.0,-114.0,0.540058572177442,0.9419689119170984,NE
Chuba Hubbard,receptions,1.5,UNDER,0.0986790953156363,0.3664371837541312,0.4226202896405333,-111.0,-115.0,0.5963880126182965,0.7538461538461538,NO
Tucker Kraft,receptions,3.5,UNDER,0.0984764028242289,0.3846153846153846,2.485977303832396,-119.0,-107.0,0.5949030588735689,0.84,CAR
Jalin Hyatt,receptions,1.5,UNDER,0.0984764028242289,0.3846153846153846,0.5921395347949249,-119.0,-107.0,0.6142744479495268,1.0,SF
Christian McCaffrey,receptions,6.5,UNDER,0.0977443609022556,0.3486842105263157,3.800544464809852,-102.0,-124.0,0.6115457413249211,1.0894736842105264,LA
Trey Benson,rushing_yards,56.5,UNDER,0.0966952264381885,0.3684210526315789,16.49585101041753,-110.0,-115.0,0.5416136383979289,0.7765765765765765,SEA
Bryce Young,passing_yards,218.5,UNDER,0.096503216190722,0.3751948970168252,72.91460756950292,-112.0,-112.0,0.5149588702269706,0.9681192660550458,NO
Marvin Mims Jr.,receptions,3.5,OVER,0.0962072155411655,0.5217391304347826,3.278702500003137,135.0,-173.0,0.6118870088901635,1.4571428571428573,DAL
Arian Smith,receiving_yards,12.5,UNDER,0.0957900391001732,0.3781436101889263,4.085197649133323,-113.0,-111.0,0.5806405644838818,0.7173333333333334,CLE
Rico Dowdle,rushing_yards,60.5,OVER,0.0956727560963813,0.6305564770266139,80.00076482917342,-115.0,-110.0,0.557749422681278,1.403053435114504,NO
Alvin Kamara,rushing_yards,54.5,UNDER,0.0952936405132984,0.3719960791128698,15.735074155341149,-110.0,-114.0,0.5498523927531699,1.0251121076233185,CAR
Tyrone Tracy Jr.,rushing_yards,43.5,UNDER,0.0945419103313839,0.3684210526315789,22.742431829021623,-108.0,-116.0,0.5641780787809372,1.4830188679245282,CHI
Luther Burden III,receiving_yards,18.5,OVER,0.0939808145315778,0.6200471652424783,24.07409384208344,-111.0,-114.0,0.6090039155966349,1.9411764705882355,NYG
Kayshon Boutte,receptions,2.5,UNDER,0.0938535149061465,0.3846153846153846,1.596707631235344,-117.0,-109.0,0.58363293168537,0.9490909090909092,ATL
Allen Lazard,receptions,1.5,UNDER,0.093793665579879,0.3486842105263157,0.931369605801764,-101.0,-126.0,0.6133519662142027,0.9555555555555556,CIN
Christian Watson,receiving_yards,19.5,OVER,0.0936782816154846,0.6129090508462539,41.589279110438454,-108.0,-116.0,0.6003885696588209,1.0,PHI
Gunnar Helm,receptions,2.5,UNDER,0.0932715268998455,0.3492063492063492,1.686658465829083,-101.0,-126.0,0.5878422712933754,1.1,LAC
Jake Browning,passing_yards,237.5,UNDER,0.0916349480120062,0.3800631651955409,108.36796285742322,-112.0,-112.0,0.5156447712520053,1.3426415094339623,DET
Rashee Rice,receptions,5.5,UNDER,0.0915750915750915,0.3846153846153846,4.786114094263653,-116.0,-110.0,0.5861643342578282,1.0,BUF
DeMario Douglas,receiving_yards,26.5,OVER,0.0914726528799401,0.6241829332537718,31.41012067893273,-114.0,-110.0,0.5901763188659752,1.1034013605442177,NYJ
Jaylin Lane,receptions,2.5,UNDER,0.0904761904761904,0.2666666666666666,1.112661277018793,140.0,-180.0,0.5977715114568858,0.95,DET
Cooper Kupp,receptions,3.5,UNDER,0.0899122807017545,0.3486842105263157,1.4703673281942038,100.0,-128.0,0.6124336763717226,0.8400000000000001,ARI
Tyler Lockett,receptions,2.5,UNDER,0.0888367274859194,0.3017882725140805,0.4699612023804706,122.0,-156.0,0.5880326120762429,0.8799999999999999,DEN
Rhamondre Stevenson,receptions,2.5,UNDER,0.0879970121811078,0.3486842105263157,0.9015069583058756,101.0,-129.0,0.5836541659527721,0.9111111111111112,CLE
Sterling Shepard,receptions,3.5,UNDER,0.0879970121811078,0.3486842105263157,1.7591277602578792,101.0,-129.0,0.610787104716473,0.8894736842105263,NE
Deebo Samuel Sr.,receiving_yards,49.5,UNDER,0.0874679092782845,0.3842302039292626,18.591461545283632,-112.0,-112.0,0.5958846392025525,0.8482511210762331,DET
Luke Musgrave,receiving_yards,5.5,OVER,0.087119521234624,0.6154214080270769,22.58607185213699,-112.0,-112.0,0.6003885696588209,2.0545454545454547,PHI
Kyle Monangai,receiving_yards,15.5,UNDER,0.0866710226039539,0.3940982081652767,6.732186829244587,-117.0,-108.0,0.6090039155966349,0.8545454545454545,NYG
James Cook,rushing_yards,71.5,OVER,0.0865009661804352,0.6125673168913357,84.7702624858041,-111.0,-113.0,0.5640362994227905,1.1648148148148147,MIA
T.J. Hockenson,receptions,4.5,UNDER,0.0860983981693365,0.3486842105263157,2.0553466421893685,102.0,-130.0,0.6165385536876572,1.011764705882353,BAL
Rome Odunze,receptions,4.5,UNDER,0.0860983981693365,0.3486842105263157,1.841530540561664,102.0,-130.0,0.6141132296697468,1.025,NYG
Drake London,receptions,6.5,UNDER,0.0860983981693365,0.3486842105263157,3.942207864928205,102.0,-130.0,0.6197397476340694,0.8492307692307692,IND
Justin Jefferson,receptions,5.5,UNDER,0.0860983981693365,0.3486842105263157,3.259721701458767,102.0,-130.0,0.6165385536876572,0.85,BAL
Tez Johnson,receptions,2.5,UNDER,0.0858208955223879,0.4166666666666667,1.5401516736261105,-129.0,101.0,0.610787104716473,0.7846153846153846,NE
Jerome Ford,receptions,2.5,UNDER,0.0855762594893029,0.3492063492063493,1.3942925230591132,102.0,-130.0,0.5921422426154287,1.0266666666666666,NYJ
Jayden Higgins,receptions,3.5,UNDER,0.0853235709921625,0.2906162786318975,1.3092330979336069,130.0,-166.0,0.6206624605678234,1.1485714285714286,JAX
Xavier Legette,receptions,3.5,UNDER,0.0839567981645431,0.3489436347358897,1.310097454692435,103.0,-131.0,0.5963880126182965,0.7714285714285714,NO
Robbie Chosen,receptions,2.5,OVER,0.0831426392067124,0.5217391304347826,2.391086045827543,128.0,-164.0,0.5977715114568858,1.0,DET
Daniel Jones,passing_yards,230.5,UNDER,0.0822510822510822,0.3939393939393939,140.36278829779752,-114.0,-110.0,0.5132777160443508,0.9664285714285714,ATL
Michael Carter,rushing_yards,44.5,UNDER,0.082209876902196,0.3850798427239722,12.416571112503654,-110.0,-114.0,0.5416136383979289,0.9619047619047618,SEA
Demarcus Robinson,receptions,1.5,UNDER,0.0818281335522714,0.3492063492063492,0.5711138927072944,103.0,-132.0,0.6115457413249211,0.9047619047619048,LA
Kendrick Bourne,receptions,3.5,UNDER,0.0818281335522714,0.3492063492063492,1.5388126347854574,103.0,-132.0,0.6115457413249211,0.7739130434782608,LA
Wan'Dale Robinson,receiving_yards,39.5,OVER,0.0811406683579624,0.6049501921674862,44.82552022564124,-110.0,-114.0,0.6133869630707344,1.2776470588235296,CHI
Deebo Samuel Sr.,receptions,5.5,UNDER,0.0805003388299074,0.3486842105263157,2.501797873980196,104.0,-133.0,0.5977715114568858,0.8933333333333333,DET
Jaylen Waddle,receptions,4.5,UNDER,0.0805003388299074,0.3486842105263157,2.990506436873699,104.0,-133.0,0.5861643342578282,1.076190476190476,BUF
Kayshon Boutte,receptions,3.5,UNDER,0.0805003388299074,0.3486842105263157,1.596707631235344,104.0,-133.0,0.58363293168537,0.9490909090909092,ATL
Ashton Jeanty,receiving_yards,13.5,OVER,0.0800314877984781,0.5945945945945946,13.727213201894813,-106.0,-118.0,0.587384045626795,0.8526315789473684,DEN
