player_name,player_id,team,position,passing_yards,passing_tds,interceptions,completions,attempts,rushing_yards,rushing_tds,rushing_attempts,receiving_yards,receiving_tds,receptions
A.Rodgers,00-0023459,NYJ,QB,151.0,0.0,0.0,22.0,38,0.0,0.0,0,0.0,0.0,0.0
J.Flacco,00-0026158,IND,QB,272.0,2.0,3.0,26.0,39,0.0,0.0,0,0.0,0.0,0.0
M.Stafford,00-0026498,LA,QB,293.0,0.0,1.0,32.0,50,0.0,0.0,1,0.0,0.0,0.0
R.Wilson,00-0029263,PIT,QB,195.0,3.0,1.0,14.0,31,3.0,0.0,4,0.0,0.0,0.0
K.Cousins,00-0029604,ATL,QB,306.0,0.0,1.0,23.0,41,0.0,0.0,0,0.0,0.0,0.0
D.Carr,00-0031280,NO,QB,269.0,2.0,0.0,16.0,25,17.0,0.0,4,0.0,0.0,0.0
M.Killebrew,00-0032399,PIT,QB,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0
J.Goff,00-0033106,DET,QB,240.0,2.0,5.0,15.0,30,2.0,0.0,1,0.0,0.0,0.0
C.Rush,00-0033662,DAL,QB,45.0,0.0,0.0,13.0,24,2.0,0.0,2,0.0,0.0,0.0
P.Mahomes,00-0033873,KC,QB,266.0,1.0,0.0,28.0,46,19.0,0.0,3,0.0,0.0,0.0
L.Jackson,00-0034796,BAL,QB,290.0,4.0,0.0,25.0,33,33.0,0.0,8,0.0,0.0,0.0
B.Mayfield,00-0034855,TB,QB,116.0,1.0,0.0,18.0,31,3.0,0.0,3,0.0,0.0,0.0
J.Allen,00-0034857,BUF,QB,280.0,0.0,2.0,22.0,39,50.0,1.0,8,0.0,0.0,0.0
S.Darnold,00-0034869,MIN,QB,241.0,0.0,3.0,24.0,39,28.0,0.0,7,0.0,0.0,0.0
K.Murray,00-0035228,ARI,QB,266.0,1.0,0.0,22.0,25,21.0,2.0,3,0.0,0.0,0.0
D.Jones,00-0035710,NYG,QB,190.0,0.0,2.0,22.0,39,26.0,1.0,7,0.0,0.0,0.0
T.Tagovailoa,00-0036212,MIA,QB,207.0,1.0,1.0,20.0,31,-1.0,0.0,1,0.0,0.0,0.0
J.Herbert,00-0036355,LAC,QB,164.0,1.0,0.0,14.0,18,32.0,1.0,9,0.0,0.0,0.0
J.Hurts,00-0036389,PHI,QB,202.0,2.0,1.0,14.0,25,56.0,2.0,7,0.0,0.0,0.0
J.Burrow,00-0036442,CIN,QB,428.0,4.0,0.0,34.0,60,6.0,0.0,2,0.0,0.0,0.0
M.Jones,00-0036972,JAX,QB,111.0,0.0,2.0,14.0,25,8.0,1.0,5,0.0,0.0,0.0
T.Lance,00-0037012,DAL,QB,21.0,0.0,1.0,4.0,8,17.0,0.0,3,0.0,0.0,0.0
B.Purdy,00-0037834,SF,QB,353.0,2.0,0.0,25.0,39,17.0,0.0,4,0.0,0.0,0.0
K.Pickett,00-0038102,PHI,QB,5.0,0.0,0.0,1.0,2,1.0,0.0,1,0.0,0.0,0.0
B.Young,00-0039150,CAR,QB,126.0,1.0,0.0,15.0,26,30.0,0.0,2,0.0,0.0,0.0
W.Levis,00-0039152,TEN,QB,175.0,2.0,0.0,18.0,30,41.0,0.0,5,0.0,0.0,0.0
C.Stroud,00-0039163,HOU,QB,232.0,1.0,2.0,19.0,37,5.0,0.0,1,0.0,0.0,0.0
B.Nix,00-0039732,DEN,QB,215.0,2.0,0.0,22.0,32,-5.0,0.0,3,0.0,0.0,0.0
