player,market,line,direction,odds,model_prob,dk_prob,edge,ev,kelly,matchup,commence_time
Mitchell Evans,player_receptions,0.5,OVER,300,0.713,0.236,0.477,1.85,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Bryce Young,player_rush_attempts,3.5,UNDER,150,0.871,0.377,0.494,1.179,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Rico Dowdle,player_rush_attempts,10.5,OVER,124,0.938,0.42,0.518,1.101,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Chase Brown,player_receptions,3.5,OVER,131,0.891,0.409,0.482,1.057,0.1,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Tetairoa McMillan,player_receptions,3.5,OVER,124,0.778,0.42,0.358,0.744,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
D'Andre Swift,player_rush_attempts,11.5,OVER,-103,0.84,0.478,0.362,0.656,0.1,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Chuba Hubbard,player_rush_attempts,3.5,OVER,105,0.771,0.459,0.312,0.58,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Brycen Tremayne,player_receptions,0.5,OVER,150,0.613,0.377,0.236,0.532,0.0887,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Xavier Legette,player_receptions,0.5,OVER,-140,0.884,0.551,0.334,0.516,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Tommy Tremble,player_receptions,0.5,OVER,114,0.706,0.441,0.265,0.511,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Bryce Young,player_rush_yds,15.5,UNDER,-110,0.784,0.49,0.294,0.496,0.1,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Mike Gesicki,player_reception_yds,32.5,UNDER,-110,0.74,0.496,0.244,0.413,0.1,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Kayshon Boutte,player_reception_yds,36.5,UNDER,-109,0.725,0.494,0.232,0.391,0.1,New York Giants @ New England Patriots,2025-12-02T01:15:00Z
Chase Brown,player_reception_yds,19.5,OVER,-111,0.724,0.498,0.226,0.375,0.1,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Saquon Barkley,player_rush_attempts,17.5,OVER,-114,0.732,0.502,0.23,0.375,0.1,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Ja'Tavion Sanders,player_receptions,2.5,OVER,160,0.527,0.362,0.165,0.369,0.0577,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Noah Fant,player_receptions,1.5,OVER,-151,0.822,0.567,0.255,0.367,0.1,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Joe Burrow,player_rush_yds,4.5,UNDER,-113,0.702,0.502,0.2,0.323,0.0911,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Patrick Mahomes,player_rush_yds,20.5,UNDER,-110,0.693,0.496,0.197,0.322,0.0887,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
Jake Ferguson,player_receptions,4.5,UNDER,105,0.607,0.46,0.147,0.244,0.0582,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
Luther Burden III,player_receptions,2.5,UNDER,115,0.577,0.439,0.138,0.241,0.0523,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Kayshon Boutte,player_receptions,2.5,UNDER,-124,0.687,0.522,0.165,0.241,0.0748,New York Giants @ New England Patriots,2025-12-02T01:15:00Z
Mike Gesicki,player_receptions,3.5,UNDER,-101,0.617,0.474,0.143,0.228,0.0576,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Noah Fant,player_reception_yds,12.5,OVER,-109,0.638,0.494,0.144,0.223,0.0606,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Amon-Ra St. Brown,player_receptions,6.5,UNDER,116,0.564,0.436,0.128,0.219,0.0472,Green Bay Packers @ Detroit Lions,2025-11-27T18:00:00Z
Rashee Rice,player_receptions,6.5,UNDER,-116,0.653,0.506,0.147,0.216,0.0628,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
Tetairoa McMillan,player_reception_yds,31.5,OVER,-120,0.661,0.51,0.151,0.212,0.0637,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Jared Goff,player_pass_yds,240.5,UNDER,-112,0.638,0.5,0.138,0.207,0.0581,Green Bay Packers @ Detroit Lions,2025-11-27T18:00:00Z
