game_id,side,american_odds,point
2025_17_ARI_CIN,away_spread,-110,7.0
2025_17_ARI_CIN,home_spread,-110,-7.0
2025_17_ARI_CIN,over,-112,53.5
2025_17_ARI_CIN,under,-108,53.5
2025_17_SEA_CAR,home_spread,100,6.5
2025_17_SEA_CAR,away_spread,-120,-6.5
2025_17_SEA_CAR,over,-110,42.5
2025_17_SEA_CAR,under,-110,42.5
2025_17_PIT_CLE,home_spread,-108,4.5
2025_17_PIT_CLE,away_spread,-112,-4.5
2025_17_PIT_CLE,over,-108,35.5
2025_17_PIT_CLE,under,-112,35.5
2025_17_JAX_IND,home_spread,-120,5.5
2025_17_JAX_IND,away_spread,100,-5.5
2025_17_JAX_IND,over,-112,48.5
2025_17_JAX_IND,under,-108,48.5
2025_17_TB_MIA,home_spread,-112,5.5
2025_17_TB_MIA,away_spread,-108,-5.5
2025_17_TB_MIA,over,-108,44.5
2025_17_TB_MIA,under,-112,44.5
2025_17_NE_NYJ,away_spread,-118,-13.5
2025_17_NE_NYJ,home_spread,-102,13.5
2025_17_NE_NYJ,over,-108,42.5
2025_17_NE_NYJ,under,-112,42.5
2025_17_NO_TEN,away_spread,-110,-1.5
2025_17_NO_TEN,home_spread,-110,1.5
2025_17_NO_TEN,over,-108,39.5
2025_17_NO_TEN,under,-112,39.5
2025_17_NYG_LV,home_spread,-120,3.0
2025_17_NYG_LV,away_spread,100,-3.0
2025_17_NYG_LV,over,-115,40.5
2025_17_NYG_LV,under,-105,40.5
2025_17_PHI_BUF,home_spread,-118,-2.5
2025_17_PHI_BUF,away_spread,-102,2.5
2025_17_PHI_BUF,over,-108,44.5
2025_17_PHI_BUF,under,-112,44.5
2025_17_CHI_SF,away_spread,-118,3.5
2025_17_CHI_SF,home_spread,-102,-3.5
2025_17_CHI_SF,over,-112,51.5
2025_17_CHI_SF,under,-108,51.5
2025_17_LAR_ATL,home_spread,-110,7.5
2025_17_LAR_ATL,away_spread,-110,-7.5
2025_17_LAR_ATL,over,-120,49.5
2025_17_LAR_ATL,under,100,49.5
